index,[2023-01-02 21:22:43.824] Ultrasonic Sensor Data Capture Start,index,[2023-01-02 21:22:43.824] Ultrasonic Sensor Data Capture Start
3,4320,100008,3108
4,4417,100009,3031
5,4450,100010,3006
6,4328,100011,4578
7,4363,100012,3083
8,4494,100013,3107
9,4475,100014,3108
10,4344,100015,3083
11,4499,100016,4714
12,4447,100017,2981
13,4444,100018,3107
14,4367,100019,3058
15,4374,100020,3082
16,4325,100021,3107
17,4444,100022,3107
18,4444,100023,3082
19,4325,100024,3107
20,4467,100025,3058
21,4473,100026,3083
22,4319,100027,3006
23,4349,100028,3082
24,4475,100029,4703
25,4475,100030,3083
26,4486,100031,3107
27,4469,100032,3082
28,4444,100033,3082
29,4450,100034,3077
30,4442,100035,4648
31,4373,100036,3184
32,4468,100037,3083
33,4461,100038,3082
34,4475,100039,3082
35,4475,100040,3082
36,4353,100041,4673
37,4411,100042,3107
38,4419,100043,3082
39,4374,100044,3076
40,4442,100045,4672
41,4350,100046,3083
42,4419,100047,3076
43,4461,100048,3082
44,4450,100049,3082
45,4450,100050,3082
46,4467,100051,3057
47,4486,100052,3077
48,4444,100053,3082
49,4419,100054,2981
50,4442,100055,3057
51,4400,100056,3083
52,4352,100057,3083
53,4435,100058,3058
54,4425,100059,3082
55,4475,100060,3058
56,4376,100061,3076
57,4447,100062,3082
58,4444,100063,2981
59,4469,100064,3058
60,4467,100065,3033
61,4351,100066,3058
62,4376,100067,3082
63,4362,100068,3082
64,4351,100069,3057
65,4425,100070,3058
66,4365,100071,3058
67,4444,100072,3082
68,4469,100073,3058
69,4344,100074,3057
70,4450,100075,3033
71,4376,100076,3058
72,4436,100077,3058
73,4468,100078,3033
74,4450,100079,3057
75,4401,100080,3057
76,4467,100081,3058
77,4444,100082,3083
78,4469,100083,3083
79,4443,100084,3082
80,4450,100085,3083
81,4475,100086,3058
82,4450,100087,3083
83,4412,100088,3058
84,4444,100089,3083
85,4475,100090,3083
86,4467,100091,3058
87,4450,100092,3083
88,4444,100093,3083
89,4444,100094,3058
90,4461,100095,3058
