index,[2023-01-02 16:08:22.962] Ultrasonic Sensor Data Capture Start,index,[2023-01-02 16:08:22.962] Ultrasonic Sensor Data Capture Start
3,1899,100008,2087
4,1899,100009,2087
5,1899,100010,2087
6,1899,100011,2087
7,1899,100012,2087
8,1905,100013,2087
9,1899,100014,2088
10,1898,100015,2087
11,1913,100016,2087
12,1898,100017,2088
13,1899,100018,2087
14,1898,100019,2087
15,1906,100020,2087
16,1899,100021,2087
17,1898,100022,2087
18,1898,100023,2087
19,1907,100024,2086
20,1899,100025,2088
21,1905,100026,2112
22,1898,100027,2088
23,1899,100028,2088
24,1898,100029,2087
25,1905,100030,2087
26,1899,100031,2088
27,1899,100032,2087
28,1899,100033,2088
29,1899,100034,2088
30,1898,100035,2087
31,1898,100036,2087
32,1899,100037,2087
33,1899,100038,2087
34,1905,100039,2087
35,1899,100040,2112
36,1899,100041,2088
37,1899,100042,2087
38,1899,100043,2087
39,1899,100044,2087
40,1899,100045,2087
41,1899,100046,2082
42,1899,100047,2087
43,1905,100048,2087
44,1899,100049,2087
45,1899,100050,2087
46,1899,100051,2088
47,1899,100052,2088
48,1899,100053,2088
49,1899,100054,2088
50,1899,100055,2081
51,1899,100056,2087
52,1903,100057,2087
53,1905,100058,2087
54,1899,100059,2087
55,1898,100060,2087
56,1899,100061,2087
57,1899,100062,2087
58,1899,100063,2088
59,1899,100064,2081
60,1899,100065,2088
61,1899,100066,2087
62,1905,100067,2088
63,1899,100068,2087
64,1898,100069,2087
65,1899,100070,2087
66,1899,100071,2087
67,1899,100072,2087
68,1899,100073,2081
69,1899,100074,2087
70,1899,100075,2087
71,1905,100076,2087
72,1899,100077,2087
73,1899,100078,2087
74,1899,100079,2087
75,1899,100080,2087
76,1899,100081,2087
77,1898,100082,2087
78,1899,100083,2087
79,1899,100084,2087
80,1904,100085,2088
81,1899,100086,2087
82,1899,100087,2087
83,1898,100088,2087
84,1899,100089,2088
85,1899,100090,2087
86,1899,100091,2088
87,1899,100092,2087
88,1899,100093,2087
89,1905,100094,2087
90,1899,100095,2087
91,1899,100096,2088
92,1899,100097,2087
93,1899,100098,2087
94,1899,100099,2087
95,1899,100100,2087
96,1899,100101,2087
97,1899,100102,2087
98,1905,100103,2087
99,1899,100104,2088
100,1899,100105,2087
101,1899,100106,2087
102,1898,100107,2087
103,1899,100108,2088
104,1899,100109,2087
105,1898,100110,2082
106,1898,100111,2087
107,1904,100112,2088
108,1899,100113,2088
109,1899,100114,2087
110,1899,100115,2087
111,1898,100116,2087
112,1899,100117,2088
113,1899,100118,2087
114,1899,100119,2081
115,1898,100120,2087
116,1903,100121,2088
117,1904,100122,2087
118,1898,100123,2087
119,1899,100124,2087
120,1899,100125,2088
121,1899,100126,2088
122,1899,100127,2087
123,1899,100128,2081
124,1899,100129,2087
125,1899,100130,2088
126,1905,100131,2087
127,1899,100132,2087
128,1899,100133,2087
129,1899,100134,2087
130,1899,100135,2087
131,1899,100136,2087
132,1899,100137,2081
133,1899,100138,2088
134,1899,100139,2087
135,1905,100140,2087
136,1899,100141,2088
137,1899,100142,2087
138,1899,100143,2087
139,1899,100144,2087
140,1899,100145,2087
141,1899,100146,2087
142,1898,100147,2088
143,1899,100148,2087
144,1905,100149,2088
145,1899,100150,2087
146,1899,100151,2087
147,1899,100152,2087
148,1899,100153,2087
149,1899,100154,2087
150,1899,100155,2088
151,1899,100156,2088
152,1899,100157,2087
153,1905,100158,2087
154,1898,100159,2087
155,1898,100160,2088
156,1899,100161,2088
157,1899,100162,2087
158,1899,100163,2087
159,1899,100164,2087
160,1899,100165,2088
161,1899,100166,2087
162,1905,100167,2088
163,1899,100168,2088
164,1899,100169,2087
165,1898,100170,2087
166,1899,100171,2087
167,1899,100172,2087
168,1898,100173,2087
169,1899,100174,2081
170,1899,100175,2087
171,1905,100176,2087
172,1899,100177,2088
173,1899,100178,2088
174,1899,100179,2088
175,1899,100180,2087
176,1899,100181,2088
177,1899,100182,2088
178,1899,100183,2081
179,1899,100184,2087
180,1905,100185,2087
181,1904,100186,2088
182,1898,100187,2087
183,1899,100188,2087
184,1899,100189,2087
185,1899,100190,2087
186,1899,100191,2087
187,1898,100192,2081
188,1899,100193,2087
189,1898,100194,2087
190,1905,100195,2087
191,1899,100196,2087
192,1898,100197,2087
193,1899,100198,2088
194,1898,100199,2087
195,1899,100200,2087
196,1899,100201,2082
197,1898,100202,2087
198,1899,100203,2087
199,1905,100204,2088
200,1899,100205,2088
201,1899,100206,2087
202,1898,100207,2088
203,1899,100208,2112
204,1899,100209,2088
205,1898,100210,2086
206,1898,100211,2087
207,1899,100212,2087
208,1905,100213,2088
209,1899,100214,2087
210,1899,100215,2087
211,1899,100216,2087
212,1898,100217,2087
213,1899,100218,2087
214,1899,100219,2087
215,1899,100220,2087
216,1899,100221,2087
217,1905,100222,2087
218,1899,100223,2087
219,1899,100224,2087
220,1899,100225,2087
221,1899,100226,2087
222,1899,100227,2087
223,1899,100228,2087
224,1898,100229,2087
225,1899,100230,2087
226,1905,100231,2087
227,1899,100232,2087
228,1898,100233,2087
