index,[2023-01-02 16:40:25.762] Ultrasonic Sensor Data Capture Start,index,[2023-01-02 16:40:25.762] Ultrasonic Sensor Data Capture Start
3,2202,100008,2210
4,2226,100009,2210
5,2226,100010,2175
6,2200,100011,2185
7,2201,100012,2185
8,2218,100013,2205
9,2225,100014,2182
10,2195,100015,2196
11,2226,100016,2185
12,2229,100017,2202
13,2229,100018,2210
14,2201,100019,2185
15,2195,100020,2179
16,2202,100021,2185
17,2201,100022,2210
18,2201,100023,2210
19,2201,100024,2186
20,2195,100025,2175
21,2194,100026,2185
22,2226,100027,2185
23,2221,100028,2210
24,2202,100029,2181
25,2220,100030,2179
26,2204,100031,2185
27,2201,100032,2185
28,2225,100033,2210
29,2229,100034,2210
30,2226,100035,2210
31,2225,100036,2179
32,2219,100037,2210
33,2195,100038,2210
34,2201,100039,2210
35,2201,100040,2210
36,2225,100041,2185
37,2202,100042,2210
38,2201,100043,2210
39,2201,100044,2210
40,2202,100045,2204
41,2226,100046,2203
42,2195,100047,2185
43,2202,100048,2209
44,2201,100049,2210
45,2201,100050,2210
46,2201,100051,2210
47,2202,100052,2210
48,2201,100053,2185
49,2201,100054,2204
50,2226,100055,2204
51,2196,100056,2210
52,2199,100057,2210
53,2201,100058,2210
54,2226,100059,2210
55,2202,100060,2209
56,2201,100061,2210
57,2201,100062,2210
58,2201,100063,2204
59,2201,100064,2203
60,2196,100065,2207
61,2196,100066,2210
62,2226,100067,2210
63,2225,100068,2210
64,2202,100069,2210
65,2201,100070,2210
66,2229,100071,2210
67,2229,100072,2204
68,2226,100073,2204
69,2195,100074,2207
70,2195,100075,2210
71,2201,100076,2209
72,2201,100077,2207
73,2201,100078,2210
74,2229,100079,2210
75,2226,100080,2210
76,2202,100081,2203
77,2225,100082,2200
78,2220,100083,2210
79,2195,100084,2210
80,2201,100085,2210
81,2201,100086,2210
82,2202,100087,2210
83,2202,100088,2210
84,2202,100089,2209
85,2201,100090,2209
86,2202,100091,2204
87,2195,100092,2210
88,2196,100093,2210
89,2201,100094,2210
90,2201,100095,2210
91,2201,100096,2210
92,2202,100097,2185
93,2202,100098,2210
94,2202,100099,2209
95,2202,100100,2204
96,2223,100101,2210
97,2223,100102,2210
98,2229,100103,2210
99,2204,100104,2210
100,2229,100105,2209
101,2202,100106,2210
102,2225,100107,2210
103,2229,100108,2210
104,2201,100109,2204
105,2201,100110,2204
106,2195,100111,2206
107,2202,100112,2210
108,2201,100113,2210
109,2201,100114,2185
110,2201,100115,2210
111,2202,100116,2210
112,2226,100117,2210
113,2202,100118,2204
114,2201,100119,2204
115,2196,100120,2210
116,2198,100121,2210
117,2229,100122,2207
118,2225,100123,2182
119,2201,100124,2210
120,2226,100125,2210
121,2202,100126,2182
122,2202,100127,2200
123,2202,100128,2203
124,2195,100129,2210
125,2195,100130,2185
126,2229,100131,2185
127,2229,100132,2185
128,2229,100133,2210
129,2229,100134,2210
130,2226,100135,2209
131,2229,100136,2204
132,2229,100137,2201
133,2222,100138,2207
134,2223,100139,2210
135,2229,100140,2209
136,2202,100141,2210
137,2202,100142,2210
138,2202,100143,2210
139,2202,100144,2210
140,2226,100145,2203
141,2202,100146,2203
142,2196,100147,2210
143,2219,100148,2210
144,2226,100149,2207
145,2202,100150,2209
146,2202,100151,2210
147,2202,100152,2210
148,2202,100153,2210
149,2202,100154,2210
150,2202,100155,2204
151,2196,100156,2210
152,2196,100157,2206
153,2201,100158,2207
154,2201,100159,2210
155,2201,100160,2210
156,2201,100161,2210
157,2201,100162,2209
158,2202,100163,2210
159,2201,100164,2204
160,2202,100165,2210
161,2196,100166,2210
162,2202,100167,2209
163,2201,100168,2210
164,2226,100169,2210
165,2226,100170,2210
166,2201,100171,2210
167,2226,100172,2209
168,2201,100173,2203
169,2202,100174,2203
170,2196,100175,2209
171,2201,100176,2210
172,2202,100177,2209
173,2201,100178,2210
174,2202,100179,2210
175,2202,100180,2210
176,2202,100181,2210
177,2225,100182,2203
178,2201,100183,2204
179,2196,100184,2210
180,2199,100185,2210
181,2202,100186,2210
182,2201,100187,2209
183,2202,100188,2210
184,2226,100189,2209
185,2202,100190,2210
186,2202,100191,2204
187,2202,100192,2203
188,2195,100193,2209
189,2196,100194,2210
190,2201,100195,2210
191,2202,100196,2209
192,2229,100197,2210
193,2201,100198,2210
194,2202,100199,2210
195,2226,100200,2203
196,2225,100201,2203
197,2195,100202,2206
198,2220,100203,2210
199,2202,100204,2210
200,2202,100205,2210
201,2202,100206,2210
202,2201,100207,2210
203,2229,100208,2209
204,2202,100209,2204
205,2229,100210,2203
206,2220,100211,2210
207,2196,100212,2210
208,2201,100213,2209
209,2202,100214,2185
210,2201,100215,2209
211,2202,100216,2209
212,2226,100217,2210
213,2202,100218,2209
214,2201,100219,2203
215,2220,100220,2209
216,2196,100221,2209
217,2202,100222,2210
218,2201,100223,2184
219,2229,100224,2209
220,2202,100225,2209
221,2202,100226,2210
222,2226,100227,2209
223,2201,100228,2204
224,2202,100229,2210
225,2195,100230,2210
226,2201,100231,2210
227,2202,100232,2210
228,2229,100233,2210
229,2202,100234,2185
230,2201,100235,2185
231,2201,100236,2185
232,2229,100237,2204
233,2202,100238,2204
234,2196,100239,2210
235,2226,100240,2210
236,2226,100241,2209
237,2226,100242,2210
238,2229,100243,2209
239,2229,100244,2210
240,2226,100245,2209
241,2201,100246,2204
242,2229,100247,2203
243,2223,100248,2185
244,2224,100249,2185
245,2201,100250,2185
246,2202,100251,2210
247,2201,100252,2210
248,2229,100253,2210
249,2201,100254,2209
250,2229,100255,2203
251,2229,100256,2179
252,2223,100257,2209
253,2222,100258,2209
254,2226,100259,2210
255,2201,100260,2210
256,2226,100261,2210
