index,Ultrasonic Sensor Data Capture Start,index,Ultrasonic Sensor Data Capture Start
3,4180,100004.0,2814.0
4,4205,100005.0,2806.0
5,4180,100006.0,2782.0
6,4205,100007.0,2782.0
7,4180,100008.0,2763.0
8,4324,100009.0,2807.0
9,4181,100010.0,2757.0
10,4180,100011.0,2806.0
11,4229,100012.0,2766.0
12,4181,100013.0,2814.0
13,4299,100014.0,2813.0
14,4204,100015.0,2806.0
15,4204,100016.0,2758.0
16,4299,100017.0,2807.0
17,4280,100018.0,2782.0
18,4280,100019.0,2813.0
19,4181,100020.0,2807.0
20,4181,100021.0,2815.0
21,4324,100022.0,2814.0
22,4205,100023.0,2738.0
23,4181,100024.0,2813.0
24,4205,100025.0,2807.0
25,4181,100026.0,2831.0
26,4248,100027.0,2806.0
27,4205,100028.0,2806.0
28,4180,100029.0,2796.0
29,4305,100030.0,2814.0
30,4280,100031.0,2814.0
31,4250,100032.0,2807.0
32,4182,100033.0,2807.0
33,4280,100034.0,2813.0
34,4299,100035.0,2815.0
35,4204,100036.0,2790.0
36,4347,100037.0,2814.0
37,4205,100038.0,2796.0
38,4205,100039.0,2839.0
39,4174,100040.0,2814.0
40,4229,100041.0,2765.0
41,4181,100042.0,2815.0
42,4205,100043.0,2814.0
43,4180,100044.0,2790.0
44,4229,100045.0,2790.0
45,4180,100046.0,2814.0
46,4325,100047.0,2820.0
47,4181,100048.0,2820.0
48,4180,100049.0,2814.0
49,4180,100050.0,2790.0
50,4180,100051.0,2789.0
51,4224,100052.0,2814.0
52,4205,100053.0,2814.0
53,4305,100054.0,2815.0
54,4204,100055.0,2814.0
55,4181,100056.0,2795.0
56,4300,100057.0,2796.0
57,4180,100058.0,2790.0
58,4331,100059.0,2814.0
59,4180,100060.0,2814.0
60,4181,100061.0,2790.0
61,4174,100062.0,2789.0
62,4230,100063.0,2790.0
63,4205,100064.0,2740.0
64,4180,100065.0,2771.0
65,4180,100066.0,2770.0
66,4324,100067.0,2747.0
67,4229,100068.0,2789.0
68,4228,100069.0,2741.0
69,4205,100070.0,2765.0
70,4180,100071.0,2765.0
71,4223,100072.0,2789.0
72,4204,100073.0,2765.0
73,4171,100074.0,2795.0
74,4181,100075.0,2795.0
75,4200,100076.0,2789.0
76,4204,100077.0,2790.0
77,4297,100078.0,2789.0
78,4324,100079.0,2790.0
79,4205,100080.0,2740.0
80,4181,100081.0,2765.0
81,4197,100082.0,2765.0
82,4181,100083.0,2771.0
83,4197,100084.0,2795.0
84,4181,100085.0,2746.0
85,4229,100086.0,2765.0
86,4181,100087.0,2790.0
87,4205,100088.0,2765.0
88,4180,100089.0,2789.0
89,4205,100090.0,2765.0
90,4174,100091.0,2790.0
91,4281,100092.0,2771.0
92,4180,100093.0,2796.0
93,4229,100094.0,2795.0
94,4180,100095.0,2814.0
95,4223,100096.0,2814.0
96,4180,100097.0,2815.0
97,4330,100098.0,2790.0
98,4204,100099.0,2740.0
99,4205,100100.0,2790.0
100,4173,100101.0,2790.0
101,4306,100102.0,2771.0
102,4180,100103.0,2796.0
103,4306,100104.0,2790.0
104,4181,100105.0,2740.0
105,4223,100106.0,2789.0
106,4180,100107.0,2790.0
107,4305,100108.0,2790.0
108,4205,100109.0,2740.0
109,4281,100110.0,2740.0
110,4180,100111.0,2746.0
111,4330,100112.0,2795.0
112,4180,100113.0,2765.0
113,4183,100114.0,2740.0
114,4180,100115.0,2740.0
115,4176,100116.0,2765.0
116,4304,100117.0,2790.0
117,4256,100118.0,2789.0
118,4280,100119.0,2814.0
119,4274,100120.0,2796.0
120,4198,100121.0,2796.0
121,4181,100122.0,2746.0
122,4156,100123.0,2790.0
123,4205,100124.0,2765.0
124,4205,100125.0,2790.0
125,4205,100126.0,2790.0
126,4205,100127.0,2765.0
127,4181,100128.0,2740.0
128,4247,100129.0,2796.0
129,4199,100130.0,2795.0
130,4205,100131.0,2789.0
131,4181,100132.0,2790.0
132,4205,100133.0,2789.0
133,4180,100134.0,2814.0
134,4281,100135.0,2765.0
135,4205,100136.0,2789.0
136,4205,100137.0,2740.0
137,4205,100138.0,2746.0
138,4199,100139.0,2795.0
139,4205,100140.0,2771.0
140,4205,100141.0,2790.0
141,4181,100142.0,2740.0
142,4205,100143.0,2790.0
143,4204,100144.0,2790.0
144,4181,100145.0,2740.0
145,4204,100146.0,2765.0
146,4205,100147.0,2796.0
147,4275,100148.0,2796.0
148,4205,100149.0,2771.0
149,4281,100150.0,2765.0
150,4281,100151.0,2790.0
151,4281,100152.0,2790.0
152,4256,100153.0,2740.0
153,4280,100154.0,2740.0
154,4280,100155.0,2765.0
155,4204,100156.0,2770.0
156,4175,100157.0,2796.0
157,4205,100158.0,2771.0
158,4180,100159.0,2765.0
159,4229,100160.0,2740.0
160,4204,100161.0,2790.0
161,4229,100162.0,2790.0
162,4205,100163.0,2765.0
163,4281,100164.0,2814.0
164,4253,100165.0,2790.0
165,4199,100166.0,2771.0
166,4181,100167.0,2820.0
167,4205,100168.0,2765.0
168,4205,100169.0,2741.0
169,4181,100170.0,2790.0
170,4205,100171.0,2790.0
171,4205,100172.0,2815.0
172,4229,100173.0,2814.0
173,4256,100174.0,2789.0
174,4274,100175.0,2796.0
175,4275,100176.0,2820.0
176,4281,100177.0,2790.0
177,4181,100178.0,2741.0
178,4281,100179.0,2815.0
179,4205,100180.0,2789.0
180,4205,100181.0,2740.0
181,4229,100182.0,2789.0
182,4229,100183.0,2765.0
183,4199,100184.0,2796.0
184,4250,100185.0,2746.0
185,4229,100186.0,2746.0
186,4156,100187.0,2814.0
187,4281,100188.0,2790.0
188,4205,100189.0,2790.0
189,4280,100190.0,2765.0
190,4229,100191.0,2765.0
191,4205,100192.0,2765.0
192,4198,100193.0,2821.0
193,4275,100194.0,2821.0
194,4204,100195.0,2746.0
195,4156,100196.0,2790.0
196,4281,100197.0,2814.0
197,4205,100198.0,2790.0
198,4205,100199.0,2815.0
199,4205,100200.0,2790.0
200,4256,100201.0,2815.0
201,4205,100202.0,2796.0
202,4199,100203.0,2821.0
203,4256,100204.0,2790.0
204,4205,100205.0,2790.0
205,4181,100206.0,2790.0
206,4205,100207.0,2814.0
207,4257,100208.0,2814.0
208,4257,100209.0,2815.0
209,4253,100210.0,2790.0
210,4205,100211.0,2796.0
211,4175,100212.0,2821.0
212,4205,100213.0,2814.0
213,4205,100214.0,2740.0
214,4205,100215.0,2741.0
215,4281,100216.0,2790.0
216,4205,100217.0,2814.0
217,4282,100218.0,2790.0
218,4204,100219.0,2740.0
219,4275,100220.0,2747.0
220,4223,100221.0,2796.0
221,4159,100222.0,2814.0
222,4281,100223.0,2815.0
223,4205,100224.0,2790.0
224,4256,100225.0,2790.0
225,4256,100226.0,2790.0
226,4281,100227.0,2790.0
227,4281,100228.0,2790.0
228,4275,100229.0,2790.0
229,4275,100230.0,2821.0
230,4281,100231.0,2820.0
231,4205,100232.0,2765.0
232,4205,100233.0,2741.0
233,4204,100234.0,2741.0
234,4205,100235.0,2741.0
235,4229,100236.0,2740.0
236,4204,100237.0,2741.0
237,4205,100238.0,2741.0
238,4275,100239.0,2771.0
239,4274,100240.0,2820.0
240,4159,100241.0,2815.0
241,4256,100242.0,2740.0
242,4182,100243.0,2765.0
243,4256,100244.0,2790.0
244,4182,100245.0,2740.0
245,4183,100246.0,2741.0
246,4182,100247.0,2740.0
247,4199,100248.0,2746.0
248,4250,100249.0,2747.0
249,4159,100250.0,2746.0
250,4156,100251.0,2741.0
251,4281,100252.0,2741.0
252,4205,100253.0,2766.0
253,4281,100254.0,2740.0
254,4229,100255.0,2740.0
255,4281,100256.0,2741.0
256,4182,100257.0,2747.0
257,4275,100258.0,2772.0
258,4205,100259.0,2747.0
259,4155,100260.0,2790.0
260,4257,100261.0,2741.0
261,4205,100262.0,2741.0
262,4282,100263.0,2765.0
263,4281,100264.0,2790.0
264,4282,100265.0,2790.0
265,4222,100266.0,2771.0
266,4275,100267.0,2747.0
267,4281,100268.0,2747.0
268,4257,100269.0,2740.0
269,4281,100270.0,2765.0
270,4281,100271.0,2741.0
271,4281,100272.0,2740.0
272,4257,100273.0,2765.0
273,4256,100274.0,2741.0
274,4205,100275.0,2771.0
275,4275,100276.0,2747.0
276,4281,100277.0,2747.0
277,4281,100278.0,2765.0
278,4229,100279.0,2790.0
279,4204,100280.0,2790.0
280,4205,100281.0,2790.0
281,4205,100282.0,2765.0
282,4281,100283.0,2741.0
283,4182,100284.0,2747.0
284,4223,100285.0,2747.0
285,4205,100286.0,2771.0
286,4229,100287.0,2740.0
287,4282,100288.0,2765.0
288,4205,100289.0,2765.0
289,4282,100290.0,2765.0
290,4257,100291.0,2740.0
291,4229,100292.0,2765.0
292,4276,100293.0,2740.0
293,4199,100294.0,2746.0
294,4281,100295.0,2746.0
295,4229,100296.0,2765.0
296,4281,100297.0,2765.0
297,4257,100298.0,2741.0
298,4205,100299.0,2765.0
299,4205,100300.0,2765.0
300,4205,100301.0,2740.0
301,4206,100302.0,2765.0
302,4223,100303.0,2747.0
303,4199,100304.0,2796.0
304,4205,100305.0,2765.0
305,4180,100306.0,2765.0
306,4281,100307.0,2766.0
307,4229,100308.0,2765.0
308,4281,100309.0,2741.0
309,4229,100310.0,2766.0
310,4205,100311.0,2765.0
311,4275,100312.0,2772.0
312,4250,100313.0,2747.0
313,4229,100314.0,2765.0
314,4180,100315.0,2741.0
315,4281,100316.0,2765.0
316,4229,100317.0,2765.0
317,4229,100318.0,2765.0
318,4229,100319.0,2765.0
319,4205,100320.0,2765.0
320,4275,100321.0,2772.0
321,4275,100322.0,2771.0
322,4159,100323.0,2767.0
323,4180,100324.0,2741.0
324,4282,100325.0,2765.0
325,4281,100326.0,2765.0
326,4183,100327.0,2741.0
327,4281,100328.0,2765.0
328,4256,100329.0,2765.0
329,4205,100330.0,2747.0
330,4199,100331.0,2747.0
331,4229,100332.0,2772.0
332,4281,100333.0,2765.0
333,4229,100334.0,2765.0
334,4282,100335.0,2765.0
335,4281,100336.0,2765.0
336,4282,100337.0,2741.0
337,4282,100338.0,2765.0
338,4275,100339.0,2747.0
339,4250,100340.0,2771.0
340,4281,100341.0,2771.0
341,4281,100342.0,2765.0
342,4257,100343.0,2741.0
343,4282,100344.0,2741.0
344,4281,100345.0,2741.0
345,4281,100346.0,2765.0
346,4229,100347.0,2765.0
347,4229,100348.0,2746.0
348,4275,100349.0,2747.0
349,4229,100350.0,2747.0
350,4281,100351.0,2765.0
351,4183,100352.0,2741.0
352,4282,100353.0,2765.0
353,4256,100354.0,2765.0
354,4281,100355.0,2765.0
355,4256,100356.0,2741.0
356,4229,100357.0,2765.0
357,4275,100358.0,2747.0
358,4257,100359.0,2796.0
359,4281,100360.0,2766.0
360,4281,100361.0,2766.0
361,4281,100362.0,2741.0
362,4281,100363.0,2741.0
363,4257,100364.0,2741.0
364,4281,100365.0,2740.0
365,4275,100366.0,2740.0
366,4276,100367.0,2747.0
367,4275,100368.0,2771.0
368,4229,100369.0,2765.0
369,4180,100370.0,2765.0
370,4257,100371.0,2740.0
371,4281,100372.0,2741.0
372,4282,100373.0,2741.0
373,4281,100374.0,2740.0
374,4257,100375.0,2765.0
375,4276,100376.0,2746.0
376,4276,100377.0,2746.0
377,4281,100378.0,2746.0
378,4180,100379.0,2765.0
379,4281,100380.0,2740.0
380,4280,100381.0,2741.0
381,4281,100382.0,2765.0
382,4281,100383.0,2740.0
383,4257,100384.0,2765.0
384,4199,100385.0,2747.0
385,4251,100386.0,2747.0
386,4281,100387.0,2747.0
387,4180,100388.0,2741.0
388,4280,100389.0,2741.0
389,4281,100390.0,2741.0
390,4281,100391.0,2741.0
391,4282,100392.0,2764.0
392,4282,100393.0,2765.0
393,4223,100394.0,2746.0
394,4223,100395.0,2747.0
395,4281,100396.0,2747.0
396,4281,100397.0,2741.0
397,4281,100398.0,2741.0
398,4281,100399.0,2740.0
399,4230,100400.0,2741.0
400,4205,100401.0,2741.0
401,4281,100402.0,2740.0
402,4182,100403.0,2746.0
403,4153,100404.0,2747.0
404,4159,100405.0,2747.0
405,4281,100406.0,2741.0
406,4229,100407.0,2740.0
407,4257,100408.0,2740.0
