index,[2022-12-31 23:16:20.138] Ultrasonic Sensor Data Capture Start,index,[2022-12-31 23:16:20.138] Ultrasonic Sensor Data Capture Start
3.0,4167.0,99989,4085
4.0,4167.0,99990,4111
5.0,4210.0,99991,4085
6.0,4143.0,99992,4085
7.0,4210.0,99993,4086
8.0,4241.0,99994,4211
9.0,4142.0,99995,4211
10.0,4143.0,99996,4186
11.0,4216.0,99997,4204
12.0,4216.0,99998,4134
13.0,4191.0,99999,4205
14.0,4186.0,100000,4110
15.0,4241.0,100001,4187
16.0,4217.0,100002,4211
17.0,4167.0,100003,4109
18.0,4192.0,100004,4085
19.0,4192.0,100005,4236
20.0,4192.0,100006,4134
21.0,4186.0,100007,4229
22.0,4167.0,100008,4110
23.0,4167.0,100009,4186
24.0,4135.0,100010,4079
25.0,4142.0,100011,4085
26.0,4142.0,100012,4205
27.0,4216.0,100013,4211
28.0,4216.0,100014,4210
29.0,4216.0,100015,4186
30.0,4162.0,100016,4177
31.0,4167.0,100017,4186
32.0,4143.0,100018,4112
33.0,4134.0,100019,4182
34.0,4166.0,100020,4109
35.0,4191.0,100021,4155
36.0,4341.0,100022,4110
37.0,4160.0,100023,4172
38.0,4341.0,100024,4211
39.0,4159.0,100025,4110
40.0,4142.0,100026,4211
41.0,4215.0,100027,4186
42.0,4192.0,100028,4186
43.0,4192.0,100029,4210
44.0,4234.0,100030,4205
45.0,4167.0,100031,4236
46.0,4168.0,100032,4211
47.0,4290.0,100033,4211
48.0,4192.0,100034,4110
49.0,4161.0,100035,4085
50.0,4167.0,100036,4212
51.0,4210.0,100037,4110
52.0,4216.0,100038,4211
53.0,4143.0,100039,4104
54.0,4184.0,100040,4211
55.0,4216.0,100041,4186
56.0,4160.0,100042,4211
57.0,4167.0,100043,4085
58.0,4185.0,100044,4085
59.0,4167.0,100045,4228
60.0,4191.0,100046,4109
61.0,4216.0,100047,4186
62.0,4192.0,100048,4211
63.0,4192.0,100049,4186
64.0,4192.0,100050,4180
65.0,4186.0,100051,4211
66.0,4143.0,100052,4186
67.0,4129.0,100053,4211
68.0,4143.0,100054,4110
69.0,4143.0,100055,4085
70.0,4167.0,100056,4203
71.0,4167.0,100057,4110
72.0,4143.0,100058,4186
73.0,4216.0,100059,4180
74.0,4217.0,100060,4186
75.0,4266.0,100061,4112
76.0,4210.0,100062,4186
77.0,4217.0,100063,4235
78.0,4192.0,100064,4210
79.0,4216.0,100065,4211
80.0,4208.0,100066,4205
81.0,4142.0,100067,4110
82.0,4142.0,100068,4205
83.0,4209.0,100069,4134
84.0,4167.0,100070,4211
85.0,4167.0,100071,4211
86.0,4216.0,100072,4085
87.0,4391.0,100073,4084
88.0,4235.0,100074,4236
89.0,4167.0,100075,4110
90.0,4241.0,100076,4203
91.0,4191.0,100077,4205
92.0,4191.0,100078,4110
93.0,4185.0,100079,4105
94.0,4217.0,100080,4110
95.0,4192.0,100081,4205
96.0,4192.0,100082,4211
97.0,4192.0,100083,4109
98.0,4192.0,100084,4109
99.0,4242.0,100085,4109
100.0,4210.0,100086,4159
101.0,4216.0,100087,4236
102.0,4241.0,100088,4162
103.0,4192.0,100089,4211
104.0,4265.0,100090,4179
105.0,4235.0,100091,4186
106.0,4167.0,100092,4162
107.0,4143.0,100093,4085
108.0,4266.0,100094,4210
109.0,4291.0,100095,4186
110.0,4161.0,100096,4210
111.0,4192.0,100097,4211
112.0,4167.0,100098,4235
113.0,5915.0,100099,4229
114.0,4440.0,100100,4230
115.0,4235.0,100101,4211
116.0,4167.0,100102,4211
117.0,4192.0,100103,4211
118.0,4167.0,100104,4210
119.0,5941.0,100105,4236
120.0,4241.0,100106,4211
121.0,4258.0,100107,4210
122.0,4142.0,100108,4229
123.0,4161.0,100109,4229
124.0,4168.0,100110,4186
125.0,4217.0,100111,4211
126.0,5723.0,100112,4236
127.0,4367.0,100113,4236
128.0,4240.0,100114,4236
129.0,4167.0,100115,4211
130.0,4143.0,100116,4235
131.0,4167.0,100117,4229
132.0,5940.0,100118,4230
133.0,4144.0,100119,4236
134.0,4265.0,100120,4236
135.0,4192.0,100121,4236
136.0,4192.0,100122,4211
137.0,4192.0,100123,4210
138.0,4217.0,100124,4211
139.0,5692.0,100125,4186
140.0,4290.0,100126,4235
141.0,4266.0,100127,4230
142.0,4241.0,100128,4236
143.0,4143.0,100129,4236
144.0,4192.0,100130,4235
145.0,5843.0,100131,4211
146.0,4391.0,100132,4236
147.0,4433.0,100133,4236
148.0,4143.0,100134,4236
149.0,4167.0,100135,4236
150.0,4186.0,100136,4180
151.0,5894.0,100137,4236
152.0,4118.0,100138,4236
153.0,4241.0,100139,4210
154.0,4216.0,100140,4235
155.0,4216.0,100141,4236
156.0,4216.0,100142,4211
157.0,4482.0,100143,4236
158.0,5667.0,100144,4211
159.0,4259.0,100145,4205
160.0,4317.0,100146,4180
161.0,4167.0,100147,4211
162.0,4217.0,100148,4186
163.0,4314.0,100149,4211
164.0,4167.0,100150,4134
165.0,5891.0,100151,4185
166.0,4384.0,100152,4137
167.0,4208.0,100153,4211
168.0,4167.0,100154,4205
169.0,4161.0,100155,4205
170.0,4365.0,100156,4236
171.0,4243.0,100157,4211
172.0,5816.0,100158,4112
173.0,4317.0,100159,4210
174.0,4090.0,100160,4186
175.0,4241.0,100161,4211
176.0,4167.0,100162,4211
177.0,4167.0,100163,4204
178.0,5866.0,100164,4205
179.0,4143.0,100165,4236
180.0,4241.0,100166,4186
181.0,4191.0,100167,4161
182.0,4241.0,100168,4186
183.0,5841.0,100169,4210
184.0,4292.0,100170,4136
185.0,4191.0,100171,4186
186.0,4186.0,100172,4112
187.0,4409.0,100173,4106
188.0,4217.0,100174,4186
189.0,5848.0,100175,4211
190.0,4167.0,100176,4236
191.0,4209.0,100177,4211
192.0,4167.0,100178,4236
193.0,4191.0,100179,4186
194.0,4216.0,100180,4185
195.0,5841.0,100181,4186
196.0,4415.0,100182,4205
197.0,4208.0,100183,4211
198.0,4167.0,100184,4211
199.0,4216.0,100185,4112
200.0,4143.0,100186,4185
201.0,5891.0,100187,4185
202.0,4434.0,100188,4186
203.0,4098.0,100189,4211
204.0,4189.0,100190,4186
205.0,4210.0,100191,4180
206.0,4365.0,100192,4185
207.0,5823.0,100193,4186
208.0,4143.0,100194,4211
