index,[2023-01-03 15:17:32.225] Ultrasonic Sensor Data Capture Start,index,[2023-01-03 15:17:32.225] Ultrasonic Sensor Data Capture Start
3,5549,100008,6784
4,5530,100009,6843
5,5630,100010,5072
6,5582,100011,6642
7,5391,100012,6673
8,5874,100013,5330
9,5513,100014,6535
10,5416,100015,6616
11,5856,100016,5426
12,5684,100017,6566
13,5440,100018,6513
14,5881,100019,5611
15,5586,100020,6393
16,5587,100021,6507
17,5803,100022,5633
18,5587,100023,6365
19,5562,100024,6534
20,5850,100025,5835
21,5440,100026,6086
22,5611,100027,6636
23,5900,100028,5784
24,5489,100029,6062
25,5416,100030,7341
26,5510,100031,5205
27,5409,100032,6016
28,5459,100033,6718
29,5391,100034,5949
30,5856,100035,5834
31,5703,100036,6622
32,5563,100037,6103
33,5611,100038,5833
34,5783,100039,6625
35,5486,100040,6125
36,5685,100041,5833
37,5437,100042,6592
38,5661,100043,6082
39,5467,100044,5809
40,5433,100045,6545
41,5415,100046,6153
42,5559,100047,5910
43,5850,100048,6437
44,6823,100049,6135
45,5581,100050,5886
46,5581,100051,6408
47,5681,100052,6258
48,5705,100053,5890
49,5926,100054,6326
50,5508,100055,6264
51,5976,100056,5921
52,5538,100057,6303
53,5508,100058,6332
54,5360,100059,5945
55,5392,100060,6272
56,5924,100061,6288
57,5562,100062,6096
58,5514,100063,6229
59,5875,100064,6187
60,5538,100065,6170
61,5415,100066,6180
62,5437,100067,6162
63,5434,100068,6138
64,5416,100069,6257
65,5875,100070,6135
66,5580,100071,6138
67,5927,100072,6257
68,6847,100073,6085
69,5532,100074,6187
70,5877,100075,6328
71,5883,100076,5915
72,5513,100077,6285
73,5415,100078,6355
74,5409,100079,5896
75,5580,100080,6184
76,5415,100081,6402
77,5709,100082,5896
78,5537,100083,6184
79,5709,100084,6426
80,5709,100085,5903
81,5611,100086,6233
82,5660,100087,6469
83,5685,100088,5854
84,5486,100089,6184
85,5758,100090,6542
86,5611,100091,5850
87,5562,100092,6138
88,5709,100093,6567
89,5710,100094,5952
90,5587,100095,6088
91,5709,100096,6496
92,5685,100097,5925
93,5685,100098,6086
94,5611,100099,6552
95,5685,100100,5876
96,5685,100101,6058
97,5710,100102,6546
98,5636,100103,5977
99,5660,100104,6058
100,5660,100105,6475
101,5636,100106,6054
102,5611,100107,6103
103,5586,100108,6342
104,5709,100109,6032
105,5562,100110,6156
106,5636,100111,6391
107,5709,100112,5938
108,5660,100113,6282
109,5587,100114,6259
110,5390,100115,6037
111,5385,100116,6153
112,5679,100117,6264
113,5392,100118,6038
114,5753,100119,6285
115,5437,100120,6138
116,5612,100121,6137
117,5875,100122,6180
118,5416,100123,6138
119,5587,100124,6107
120,5438,100125,6211
121,5435,100126,6156
122,5409,100127,6187
123,5414,100128,6212
124,5414,100129,6162
125,5727,100130,6187
126,5762,100131,6236
127,5660,100132,6037
128,6878,100133,6187
129,5514,100134,6362
130,5514,100135,5986
131,5437,100136,6088
132,5482,100137,6412
133,5706,100138,5956
134,5458,100139,6113
135,5367,100140,6365
136,5875,100141,5958
137,5679,100142,6136
138,5927,100143,6439
139,6823,100144,6030
140,5532,100145,6061
141,5484,100146,6418
142,5439,100147,5959
143,5678,100148,6187
144,5562,100149,6365
145,5391,100150,5903
146,5486,100151,6338
147,5435,100152,6237
148,5459,100153,5904
149,5587,100154,6318
150,5461,100155,6237
151,5709,100156,6001
152,5586,100157,6292
153,5635,100158,6261
154,5659,100159,5953
155,5462,100160,6272
156,5385,100161,6310
157,5458,100162,5974
158,5391,100163,6321
159,5510,100164,6159
160,5709,100165,6176
161,6727,100166,6169
162,5490,100167,6159
163,5489,100168,6304
164,5384,100169,6117
165,5415,100170,6113
166,5437,100171,6251
167,5413,100172,6141
168,5732,100173,6067
169,5435,100174,6404
170,5655,100175,6117
171,5386,100176,6065
172,5416,100177,6454
173,5535,100178,6093
174,5436,100179,6009
175,6747,100180,6404
176,5489,100181,6218
177,5533,100182,5833
178,5410,100183,6461
179,5366,100184,6243
180,5857,100185,5827
181,5728,100186,6504
182,5654,100187,6225
183,6772,100188,5753
184,5532,100189,6682
185,5538,100190,6177
186,5759,100191,5753
187,5728,100192,6622
188,5927,100193,6131
189,5556,100194,5885
190,6848,100195,6495
191,5532,100196,6103
192,5533,100197,5958
193,5416,100198,6569
194,5684,100199,5955
195,5752,100200,6033
196,5587,100201,6573
197,5563,100202,6001
198,5609,100203,5882
199,5511,100204,6745
200,5417,100205,5936
201,5435,100206,6650
202,5480,100207,6045
203,5606,100208,5809
204,6772,100209,6773
205,5557,100210,5952
206,5539,100211,5952
207,5438,100212,6570
208,5412,100213,5984
209,5706,100214,6053
210,6746,100215,6449
211,5557,100216,6035
212,5532,100217,6225
213,5755,100218,6240
214,5435,100219,6064
215,5655,100220,6272
216,5606,100221,6170
217,6746,100222,6037
218,5753,100223,6426
219,5557,100224,6169
220,6847,100225,5967
221,5556,100226,6420
222,5557,100227,6145
223,5435,100228,6036
224,5680,100229,6400
225,5391,100230,6071
226,5510,100231,6036
227,5486,100232,6456
228,6722,100233,6096
229,5826,100234,5980
230,5661,100235,6525
231,5686,100236,6103
232,6854,100237,5979
233,5514,100238,6473
234,5587,100239,6129
235,5588,100240,6011
236,5410,100241,6440
237,5729,100242,6106
238,5680,100243,5987
239,6746,100244,6418
240,5532,100245,6159
241,6823,100246,5987
242,5556,100247,6359
243,5557,100248,6134
244,5557,100249,6037
245,5416,100250,6289
246,5486,100251,6135
247,5633,100252,6162
248,5735,100253,6138
249,5660,100254,6286
250,5759,100255,6131
251,5850,100256,6089
252,5532,100257,6240
253,6873,100258,6159
254,5557,100259,6058
255,5631,100260,6388
256,5465,100261,6033
257,5752,100262,6085
258,5704,100263,6393
259,6848,100264,6008
260,5802,100265,6179
261,5581,100266,6387
262,5728,100267,5937
263,6823,100268,6232
264,5606,100269,6337
265,5533,100270,6036
266,5484,100271,6257
267,5440,100272,6794
268,5875,100273,5537
269,5656,100274,6671
270,5606,100275,6622
271,5509,100276,6794
272,5465,100277,6824
273,5832,100278,6849
274,5777,100279,6843
275,5557,100280,6892
276,6747,100281,6867
277,5563,100282,6843
278,5538,100283,6799
279,5875,100284,6774
280,5465,100285,6818
281,5441,100286,6843
282,5535,100287,6842
283,6823,100288,6868
284,5710,100289,6823
285,5490,100290,6849
286,5710,100291,6818
287,5489,100292,6867
288,6746,100293,6842
289,5679,100294,6843
290,5556,100295,6819
291,6847,100296,6849
292,5907,100297,6843
293,5586,100298,6843
294,5561,100299,6843
295,5440,100300,6718
296,6722,100301,6818
297,5753,100302,6824
298,5563,100303,6874
299,6824,100304,6723
300,5685,100305,6843
301,5563,100306,6893
302,6854,100307,6867
303,5784,100308,6693
304,5636,100309,6700
305,5759,100310,6699
306,5511,100311,6700
307,5783,100312,6699
308,5660,100313,6699
309,5464,100314,6699
310,5857,100315,6674
311,5728,100316,6749
312,5562,100317,6893
313,5489,100318,6741
314,5807,100319,6718
315,5703,100320,6668
316,5612,100321,6693
317,5465,100322,6693
318,5807,100323,6693
319,5685,100324,6668
320,5465,100325,6693
321,5758,100326,6692
322,5709,100327,6818
323,5440,100328,6842
324,5489,100329,6796
325,6822,100330,6800
326,5537,100331,6849
327,5950,100332,6842
328,5902,100333,6867
329,5877,100334,6843
330,5951,100335,6744
331,5857,100336,6849
332,5926,100337,6848
333,5489,100338,6699
334,5441,100339,6868
335,5709,100340,6893
336,6829,100341,6693
337,5901,100342,6818
338,5537,100343,6868
339,5902,100344,6849
340,5459,100345,6698
341,6823,100346,5161
342,5556,100347,6720
343,5925,100348,6650
344,5604,100349,6818
345,5606,100350,5215
346,5802,100351,6474
347,5605,100352,6818
348,5801,100353,5466
349,5778,100354,6350
350,5686,100355,6623
351,5710,100356,6726
352,5636,100357,6799
353,5858,100358,6775
354,5539,100359,6793
355,5564,100360,6817
356,5489,100361,6818
357,5484,100362,6769
358,5483,100363,6843
359,5606,100364,6719
360,5515,100365,6824
361,5753,100366,6874
362,5488,100367,6818
363,5514,100368,6818
364,5488,100369,6693
365,5508,100370,6843
366,5507,100371,6718
367,5483,100372,6794
368,5538,100373,6849
369,5777,100374,6699
370,5489,100375,5184
371,5514,100376,6571
372,5949,100377,6696
373,5490,100378,5409
374,5490,100379,6576
375,5832,100380,6547
376,5465,100381,5460
377,5515,100382,6530
378,5484,100383,6672
379,5631,100384,5405
380,5557,100385,6423
381,5557,100386,6626
382,5631,100387,5753
383,5508,100388,6227
384,6823,100389,6728
385,5531,100390,5588
386,5538,100391,6226
387,5488,100392,6619
388,5685,100393,5760
389,5710,100394,6227
390,5685,100395,6570
391,5851,100396,5688
392,5538,100397,6461
393,5490,100398,6515
394,5924,100399,5556
395,5441,100400,6479
396,5441,100401,6641
397,5906,100402,5386
398,5464,100403,6505
399,6000,100404,6621
400,5636,100405,5492
401,5563,100406,6450
402,5734,100407,6590
403,5753,100408,5560
404,5538,100409,6457
405,5465,100410,6566
406,5538,100411,5465
407,5537,100412,6458
408,6824,100413,6587
409,5513,100414,5581
410,5556,100415,6338
411,6772,100416,6661
412,5531,100417,5535
413,5532,100418,6292
414,5655,100419,6763
415,5851,100420,5452
416,5753,100421,6341
417,5728,100422,7288
418,5759,100423,5078
419,5759,100424,6113
420,5587,100425,5335
421,5734,100426,6794
422,5486,100427,6376
423,5563,100428,5386
424,6822,100429,6624
425,5686,100430,6509
426,5538,100431,5532
427,6829,100432,6416
428,5538,100433,6602
429,5685,100434,5608
430,5710,100435,6271
431,5759,100436,6630
432,5952,100437,5717
433,5538,100438,6170
434,5660,100439,6598
435,5752,100440,5913
436,5926,100441,6120
437,5532,100442,6474
438,5630,100443,5969
439,5753,100444,6146
440,5704,100445,6391
441,5630,100446,6120
442,5777,100447,6076
443,5777,100448,6391
444,5655,100449,6194
445,5728,100450,5952
446,5783,100451,6461
447,5759,100452,6169
448,5612,100453,5897
449,5440,100454,6516
450,5513,100455,6169
451,6823,100456,5973
452,5563,100457,6414
453,5508,100458,6120
454,6824,100459,5949
455,5826,100460,6531
456,5538,100461,6128
457,5678,100462,5905
458,5776,100463,6529
459,5734,100464,6179
460,5734,100465,5781
461,5685,100466,6496
462,5465,100467,6306
463,5514,100468,5876
464,5557,100469,6373
465,6798,100470,6237
466,5581,100471,5977
467,5557,100472,6246
468,6823,100473,6338
469,5802,100474,6022
470,5513,100475,6247
471,5851,100476,6211
472,5808,100477,6198
473,5563,100478,6121
474,5832,100479,6237
475,6001,100480,6174
476,5484,100481,6213
477,5704,100482,6168
478,6747,100483,6244
479,5777,100484,6170
480,5704,100485,6166
481,5728,100486,6226
482,5753,100487,6220
483,5803,100488,6089
484,5710,100489,6303
485,5759,100490,6170
486,5588,100491,5981
487,5710,100492,6379
488,5759,100493,6194
489,5441,100494,5931
490,5539,100495,6387
491,6825,100496,6167
492,5612,100497,6027
493,5637,100498,6406
494,5808,100499,6075
495,5564,100500,6001
496,6000,100501,6530
497,5587,100502,6031
498,5587,100503,6001
499,5489,100504,6423
500,5859,100505,6132
501,5852,100506,6026
502,5531,100507,6422
503,5635,100508,6083
504,6848,100509,6034
505,5532,100510,6388
506,5514,100511,6057
507,5489,100512,6135
508,5513,100513,6268
509,6824,100514,6058
510,5710,100515,6211
511,5588,100516,6218
512,5489,100517,6008
513,6823,100518,6356
514,5784,100519,6116
515,5514,100520,6008
516,5514,100521,6514
517,6798,100522,5910
518,5759,100523,6058
519,5563,100524,6563
520,5685,100525,5910
521,5932,100526,6110
522,5538,100527,6492
523,5441,100528,6029
524,5490,100529,5935
525,5581,100530,6547
526,6823,100531,6155
527,5704,100532,5930
528,5532,100533,6419
529,5777,100534,6107
530,5654,100535,6004
531,5703,100536,6468
532,5709,100537,5990
533,5685,100538,6204
534,5734,100539,6335
535,5685,100540,5913
536,5537,100541,6300
537,5587,100542,6341
538,5728,100543,5843
539,5782,100544,6303
540,5685,100545,6483
541,5661,100546,5743
542,5465,100547,6248
543,5484,100548,6921
