index,[2023-01-12 16:24:36.481] Ultrasonic Sensor Data Capture Start,index,[2023-01-12 16:24:36.481] Ultrasonic Sensor Data Capture Start
3,8604,100008,8697
4,8587,100009,8680
5,8563,100010,8705
6,8564,100011,8680
7,8558,100012,8631
8,8707,100013,8631
9,8585,100014,8637
10,8658,100015,8710
11,8585,100016,8560
12,8683,100017,8710
13,8615,100018,8559
14,8664,100019,6849
15,8689,100020,8658
16,8689,100021,8710
17,8663,100022,8609
18,8587,100023,6850
19,8564,100024,8735
20,8581,100025,8735
21,8557,100026,8711
22,8705,100027,8685
23,8704,100028,8584
24,8704,100029,8585
25,8704,100030,8637
26,8579,100031,8632
27,8560,100032,8655
28,8559,100033,8654
29,8659,100034,8756
30,8560,100035,8629
31,8603,100036,6843
32,8554,100037,8528
33,8727,100038,6819
34,8579,100039,8602
35,8578,100040,6895
36,8559,100041,8633
37,8685,100042,6944
38,8661,100043,8710
39,8685,100044,8710
40,8611,100045,8710
41,8562,100046,8684
42,8706,100047,8635
43,8581,100048,8660
44,8657,100049,8660
45,8707,100050,8710
46,8658,100051,8636
47,8557,100052,6768
48,8683,100053,8659
49,8683,100054,6676
50,8588,100055,8583
51,8663,100056,6870
52,8613,100057,8582
53,8638,100058,6821
54,8637,100059,8556
55,8588,100060,6921
56,8582,100061,8531
57,8657,100062,8629
58,8871,100063,8729
59,8847,100064,8628
60,8852,100065,8704
61,8713,100066,6692
62,8661,100067,8553
63,8661,100068,8627
64,8687,100069,6717
65,8876,100070,8652
66,8994,100071,8603
67,8869,100072,6741
68,8631,100073,8652
69,8580,100074,6867
70,8587,100075,8501
71,8612,100076,8628
72,8586,100077,6766
73,8587,100078,8534
74,8588,100079,8583
75,8606,100080,8709
76,8606,100081,8608
77,8581,100082,8658
78,8847,100083,8608
79,8774,100084,8709
80,8633,100085,8709
81,8557,100086,8607
82,8606,100087,8678
83,8663,100088,8677
84,8823,100089,8627
85,8798,100090,8601
86,8798,100091,8602
87,8823,100092,8603
88,8798,100093,8634
89,8798,100094,8583
90,8798,100095,8583
91,8853,100096,8609
92,8779,100097,8608
93,8587,100098,8602
94,8612,100099,8603
95,8776,100100,8577
96,8638,100101,8702
97,8606,100102,8602
98,8656,100103,8583
99,8582,100104,8633
100,8655,100105,8608
101,8606,100106,8585
102,8680,100107,8633
103,8588,100108,8626
104,8612,100109,6765
105,8830,100110,8531
106,8588,100111,8602
107,8612,100112,6765
108,8612,100113,8626
109,8638,100114,8602
110,8588,100115,6790
111,8801,100116,8525
112,8752,100117,6916
113,8613,100118,8550
114,8681,100119,6916
115,8581,100120,8450
116,8607,100121,6941
117,8583,100122,8424
118,8588,100123,7043
119,8587,100124,8550
120,8612,100125,6917
121,8588,100126,8505
122,8612,100127,6868
123,8848,100128,8581
124,8613,100129,6842
125,8824,100130,8482
126,8829,100131,6892
127,8709,100132,8455
128,8612,100133,6969
129,8563,100134,8429
130,8582,100135,6892
131,8582,100136,8556
132,8680,100137,6867
133,8727,100138,8429
134,8776,100139,6968
135,8558,100140,8353
136,8631,100141,6944
137,8922,100142,8429
138,8998,100143,6969
139,8588,100144,8405
140,8754,100145,6968
141,8557,100146,8429
142,8556,100147,6893
143,8557,100148,8372
144,8611,100149,6969
145,8588,100150,8347
146,8564,100151,6920
147,8564,100152,8447
148,8557,100153,6896
149,8873,100154,8448
150,8630,100155,6944
151,8729,100156,8473
152,8680,100157,6945
153,8606,100158,8371
154,8582,100159,7046
155,8580,100160,8347
156,8923,100161,7070
157,7490,100162,8448
158,8704,100163,6944
159,8613,100164,8398
160,8635,100165,6918
161,8537,100166,8500
162,8953,100167,6843
163,8948,100168,8449
164,8582,100169,6844
165,8563,100170,8473
166,8588,100171,7045
167,8637,100172,8298
168,8538,100173,7070
169,8532,100174,8323
170,8557,100175,6945
171,8754,100176,8574
172,8680,100177,8700
173,8605,100178,6668
174,8582,100179,8575
175,8613,100180,6794
176,8563,100181,8479
177,8588,100182,6791
178,8562,100183,8531
179,8557,100184,6840
180,8557,100185,8676
181,8705,100186,8676
182,8705,100187,6667
183,8607,100188,8631
184,8655,100189,6790
185,8563,100190,8607
186,8563,100191,8606
187,8587,100192,8631
188,8563,100193,8631
189,8705,100194,8656
190,8532,100195,8731
191,8557,100196,8707
192,8563,100197,8706
193,8587,100198,8706
194,8611,100199,8706
195,8586,100200,8707
196,8587,100201,8681
197,8975,100202,8657
198,8562,100203,8675
199,8563,100204,8700
200,8556,100205,8675
201,8558,100206,8675
202,8655,100207,8700
203,8563,100208,8700
204,8563,100209,8650
205,8686,100210,8650
206,8686,100211,8649
207,8661,100212,8626
208,8686,100213,8626
209,8661,100214,8651
210,8662,100215,8629
211,8735,100216,8682
212,8736,100217,6742
213,8711,100218,8657
214,8612,100219,6767
215,8655,100220,8726
216,8532,100221,8700
217,8581,100222,8631
218,8557,100223,6716
219,8729,100224,8633
220,8705,100225,6916
221,8588,100226,8601
222,8686,100227,8606
223,8587,100228,6815
224,8588,100229,8627
225,8563,100230,8700
226,8581,100231,8654
227,8680,100232,8606
228,8606,100233,8706
229,8705,100234,8706
230,8582,100235,8681
231,8655,100236,8681
232,8588,100237,8681
233,8637,100238,8681
234,8637,100239,8706
235,8661,100240,8731
236,8564,100241,8706
237,8631,100242,8706
238,8557,100243,8681
239,8557,100244,8681
240,8557,100245,8605
241,8563,100246,8630
242,8687,100247,8649
243,8588,100248,8648
244,8662,100249,8623
245,8563,100250,8648
246,8557,100251,8623
247,8558,100252,8599
248,8631,100253,8599
249,8606,100254,8654
250,8613,100255,8679
251,8662,100256,8630
252,8661,100257,8605
253,8588,100258,8654
254,8563,100259,8578
255,8557,100260,8623
256,8557,100261,8648
257,8557,100262,7363
258,8564,100263,8578
259,8588,100264,8630
260,8562,100265,8629
261,8562,100266,8630
262,8656,100267,8654
263,8606,100268,8629
264,8606,100269,8628
265,8557,100270,8648
266,8563,100271,8674
267,8563,100272,8648
268,8637,100273,8698
269,8563,100274,8597
270,8539,100275,8623
271,8556,100276,8623
272,8580,100277,8648
273,8557,100278,8673
274,8563,100279,8678
275,8587,100280,8749
276,8637,100281,8629
277,8563,100282,8678
278,8606,100283,8629
279,8705,100284,8629
280,8680,100285,8654
281,8705,100286,8678
282,8606,100287,8703
283,8556,100288,8678
284,8606,100289,8679
285,8662,100290,8602
286,8637,100291,8623
287,8561,100292,7489
288,8637,100293,8571
289,8563,100294,8576
290,8680,100295,8730
291,8655,100296,8653
292,8631,100297,8629
293,8656,100298,8730
294,8607,100299,8629
295,8656,100300,8654
296,8582,100301,8653
297,8613,100302,8602
298,8661,100303,8697
299,8536,100304,8698
300,8539,100305,8672
301,8631,100306,8672
302,8655,100307,8672
303,8656,100308,7390
304,8532,100309,8574
305,8681,100310,8604
306,8681,100311,8730
307,8538,100312,8680
308,8538,100313,8630
309,8538,100314,8605
310,8557,100315,8654
311,8557,100316,8678
312,8606,100317,8679
313,8533,100318,6698
314,8561,100319,8604
315,8612,100320,8571
316,8587,100321,7389
