index,[2023-01-12 17:02:45.931] Ultrasonic Sensor Data Capture Start,index,[2023-01-12 17:02:45.931] Ultrasonic Sensor Data Capture Start,,,,,,,,,,,,
3,9088,100008,9145,,,,,,,,,,,,
4,9145,100009,9101,,,,,,,,,,,,
5,9095,100010,9128,,,,,,,,,,,,
6,9096,100011,9128,,,,,,,,,,,,
7,9121,100012,9128,,,,,,,,,,,,
8,9120,100013,9127,,,,,,,,,,,,
9,9120,100014,9178,,,,,,,,,,,,
10,9095,100015,9128,,,,,,,,,,,,
11,9145,100016,9152,,,,,,,,,,,,
12,9095,100017,9134,,,,,,,,,,,,
13,9145,100018,9152,,,,,,,,,,,,
14,9170,100019,9178,,,,,,,,,,,,
15,9145,100020,9126,,,,,,,,,,,,
16,9170,100021,9128,,,,,,,,,,,,
17,9096,100022,9153,,,,,,,,,,,,
18,9095,100023,9153,,,,,,,,,,,,
19,9096,100024,9130,,,,,,,,,,,,
20,9096,100025,9127,,,,,,,,,,,,
21,9096,100026,9128,,,,,,,,,,,,
22,9120,100027,9153,,,,,,,,,,,,
23,9195,100028,9178,,,,,,,,,,,,
24,9171,100029,9203,,,,,,,,,,,,
25,9145,100030,9179,,,,,,,,,,,,
26,9119,100031,9178,,,,,,,,,,,,
27,9146,100032,9153,,,,,,,,,,,,
28,9171,100033,9101,,,,,,,,,,,,
29,9127,100034,9153,,,,,,,,,,,,
30,9145,100035,9178,,,,,,,,,,,,
31,9121,100036,9177,,,,,,,,,,,,
32,9096,100037,9103,,,,,,,,,,,,
33,9146,100038,9129,,,,,,,,,,,,
34,9102,100039,9203,,,,,,,,,,,,
35,9121,100040,9153,,,,,,,,,,,,
36,9121,100041,9178,,,,,,,,,,,,
37,9096,100042,9204,,,,,,,,,,,,
38,9095,100043,9128,,,,,,,,,,,,
39,9097,100044,9128,,,,,,,,,,,,
40,9096,100045,9153,,,,,,,,,,,,
41,9120,100046,9178,,,,,,,,,,,,
42,9121,100047,9178,,,,,,,,,,,,
43,9095,100048,9153,,,,,,,,,,,,
44,9146,100049,9129,,,,,,,,,,,,
45,9170,100050,9128,,,,,,,,,,,,
46,9145,100051,9126,,,,,,,,,,,,
47,9170,100052,9127,,,,,,,,,,,,
48,9095,100053,9203,,,,,,,,,,,,
49,9122,100054,9128,,,,,,,,,,,,
50,9170,100055,9128,,,,,,,,,,,,
51,9145,100056,9128,,,,,,,,,,,,
52,9170,100057,9128,,,,,,,,,,,,
53,9095,100058,9127,,,,,,,,,,,,
54,9120,100059,9152,,,,,,,,,,,,
55,9120,100060,9127,,,,,,,,,,,,
56,9095,100061,9127,,,,,,,,,,,,
57,9145,100062,9127,,,,,,,,,,,,
58,9096,100063,9128,,,,,,,,,,,,
59,9096,100064,9153,,,,,,,,,,,,
60,9120,100065,9128,,,,,,,,,,,,
61,9096,100066,9128,,,,,,,,,,,,
62,9096,100067,9128,,,,,,,,,,,,
63,9096,100068,9128,,,,,,,,,,,,
64,9096,100069,9153,,,,,,,,,,,,
65,9096,100070,9128,,,,,,,,,,,,
66,9096,100071,9153,,,,,,,,,,,,
