index,[2023-01-11 23:47:13.578] Ultrasonic Sensor Data Capture Start,index,[2023-01-11 23:47:13.578] Ultrasonic Sensor Data Capture Start
3,7464,100004,7485
4,7472,100005,7419
5,6650,100006,7486
6,7471,100007,7512
7,6497,100008,7417
8,4244,100009,7518
9,7440,100010,7439
10,7446,100011,7435
11,7465,100012,7466
12,7470,100013,7517
13,7547,100014,7517
14,7497,100015,7512
15,6574,100016,7486
16,7365,100017,7493
17,7496,100018,7417
18,7472,100019,7493
19,7447,100020,7487
20,7541,100021,7486
21,7516,100022,7517
22,7472,100023,7442
23,7473,100024,7518
24,7447,100025,7511
25,6621,100026,7411
26,7515,100027,7441
27,6595,100028,7417
28,4244,100029,7512
29,7439,100030,7511
30,7490,100031,7441
31,7490,100032,7417
32,7496,100033,7442
33,7958,100034,7512
34,7466,100035,7511
35,6576,100036,7441
36,7419,100037,7492
37,4244,100038,7419
38,4212,100039,7512
39,7439,100040,7486
40,4244,100041,7493
41,4260,100042,7517
42,7414,100043,7468
43,6671,100044,7511
44,7315,100045,7512
45,7470,100046,7417
46,7573,100047,7441
47,7423,100048,7518
48,6552,100049,7512
49,7365,100050,7416
50,6672,100051,7417
51,4244,100052,7517
52,4237,100053,7411
53,4236,100054,7459
54,7433,100055,7518
55,7445,100056,7441
56,7440,100057,7519
57,7445,100058,7411
58,7472,100059,7441
59,7447,100060,7441
60,7442,100061,7518
61,6620,100062,7436
62,4244,100063,7486
63,7464,100064,7518
64,7521,100065,7517
65,7466,100066,7493
66,7490,100067,7436
67,7496,100068,7435
68,7573,100069,7518
69,7447,100070,7442
70,6596,100071,7518
71,7390,100072,7460
72,7395,100073,7512
73,7892,100074,7441
74,7472,100075,7417
75,7447,100076,7512
76,7415,100077,7435
77,6647,100078,7518
78,7345,100079,7441
79,7496,100080,7518
80,7497,100081,7436
81,7515,100082,7511
82,7516,100083,7441
83,7545,100084,7417
84,7472,100085,7466
85,7496,100086,7436
86,7422,100087,7518
87,7490,100088,7517
88,7521,100089,7444
89,7472,100090,7493
90,7472,100091,7512
91,7884,100092,7512
92,7472,100093,7492
93,6595,100094,7518
94,4219,100095,7518
95,7514,100096,7436
96,4220,100097,7414
97,4187,100098,7518
98,7564,100099,7518
99,7421,100100,7493
100,7444,100101,7512
101,7515,100102,7512
102,7497,100103,7517
103,7471,100104,7517
104,7447,100105,7518
105,7516,100106,7467
106,7491,100107,7512
107,7472,100108,7441
108,7448,100109,7416
109,7497,100110,7420
110,7492,100111,7487
111,7466,100112,7486
112,7471,100113,7518
113,7497,100114,7441
114,7447,100115,7442
115,7465,100116,7436
116,7495,100117,7442
117,7471,100118,7417
118,7472,100119,7441
119,6570,100120,7460
120,7367,100121,7519
121,7521,100122,7441
122,7573,100123,7443
123,7422,100124,7460
124,7490,100125,7512
125,4265,100126,7418
126,4261,100127,7441
127,4261,100128,7420
128,4262,100129,7512
129,7404,100130,7442
130,4219,100131,7442
131,4261,100132,7466
132,7489,100133,7436
133,7471,100134,7466
134,7541,100135,7417
135,7440,100136,7442
136,7910,100137,7436
137,7422,100138,7442
138,7496,100139,7417
139,7496,100140,7518
140,6601,100141,7436
141,7515,100142,7512
142,6545,100143,7466
143,4220,100144,7518
144,7489,100145,7442
145,7496,100146,7435
146,7490,100147,7512
147,7489,100148,7441
148,7521,100149,7442
149,7472,100150,7518
150,7447,100151,7512
151,6595,100152,7439
152,4245,100153,7441
153,7976,100154,7419
154,7448,100155,7511
155,7472,100156,7512
156,7521,100157,7518
157,6619,100158,7442
158,4238,100159,7518
159,4237,100160,7511
160,4261,100161,7460
161,4237,100162,7441
162,7380,100163,7416
163,4294,100164,7519
164,4160,100165,7512
165,7538,100166,7435
166,4269,100167,7466
167,4280,100168,7417
168,4286,100169,7488
169,4278,100170,7512
170,4237,100171,7512
171,7425,100172,7517
172,7421,100173,7493
173,7540,100174,7493
174,7490,100175,7487
175,7521,100176,7512
176,7472,100177,7441
177,7471,100178,7416
178,7465,100179,7518
179,7515,100180,7487
180,7496,100181,7511
181,7448,100182,7441
182,7446,100183,7417
183,6695,100184,7487
184,7388,100185,7487
185,7521,100186,7518
186,7547,100187,7493
187,7422,100188,7444
188,7466,100189,7413
189,7466,100190,7413
190,7471,100191,7442
191,7472,100192,7442
192,7472,100193,7413
193,6570,100194,7512
194,4269,100195,7518
195,7439,100196,7441
196,7546,100197,7419
197,7471,100198,7487
198,7489,100199,7512
199,7496,100200,7493
200,8108,100201,7492
201,7566,100202,7518
202,6445,100203,7436
203,4220,100204,7512
204,7464,100205,7518
205,6545,100206,7518
206,7348,100207,7518
207,7571,100208,7435
208,7546,100209,7436
209,6651,100210,7493
210,7521,100211,7518
211,6546,100212,7518
212,4269,100213,7436
213,7439,100214,7413
214,7496,100215,7518
215,7515,100216,7518
216,7490,100217,7518
217,7496,100218,7435
218,7447,100219,7419
219,7472,100220,7518
220,7466,100221,7494
221,7490,100222,7518
222,7521,100223,7487
223,7473,100224,7436
224,7447,100225,7518
225,6669,100226,7518
226,7514,100227,7518
227,7441,100228,7512
228,7471,100229,7512
229,7573,100230,7518
230,7447,100231,7518
231,6695,100232,7493
232,7489,100233,7467
233,6671,100234,7436
234,4269,100235,7442
235,7439,100236,7418
236,7472,100237,7519
237,7466,100238,7436
238,7447,100239,7442
239,7473,100240,7441
240,7423,100241,7420
241,7466,100242,7512
242,7466,100243,7412
243,7496,100244,7442
244,7471,100245,7417
245,7447,100246,7412
246,7935,100247,7512
247,7441,100248,7492
248,6769,100249,7416
249,7340,100250,7493
250,7521,100251,7512
251,7472,100252,7435
252,7472,100253,7518
253,7541,100254,7518
254,7466,100255,7468
255,7472,100256,7487
256,7472,100257,7435
257,7448,100258,7418
258,8084,100259,7518
259,7496,100260,7512
260,7447,100261,7511
261,6695,100262,7417
262,7489,100263,7466
263,7447,100264,7420
264,8132,100265,7512
265,8132,100266,7436
266,6153,100267,7518
267,4244,100268,7492
268,8050,100269,7517
269,7442,100270,7435
270,7521,100271,7512
271,7423,100272,7417
272,7442,100273,7442
273,7466,100274,7519
274,8033,100275,7512
275,7466,100276,7512
276,6570,100277,7417
277,4195,100278,7492
278,7415,100279,7518
279,6619,100280,7412
280,7515,100281,7466
281,7447,100282,7441
282,7448,100283,7517
283,7448,100284,7487
284,7516,100285,7487
285,7466,100286,7492
286,7523,100287,7517
287,7448,100288,7444
288,7472,100289,7512
289,7466,100290,7512
290,7516,100291,7512
291,7497,100292,7493
292,7448,100293,7518
293,7441,100294,7442
294,7490,100295,7512
295,7546,100296,7511
296,7448,100297,7441
297,7472,100298,7517
298,7466,100299,7492
299,7516,100300,7435
300,7472,100301,7512
301,7448,100302,7417
302,7448,100303,7441
303,6694,100304,7413
304,7341,100305,7487
305,7445,100306,7441
306,7497,100307,7518
307,7473,100308,7518
308,7466,100309,7512
309,7471,100310,7486
310,7934,100311,7493
311,7516,100312,7517
312,6525,100313,7493
313,7469,100314,7487
314,6529,100315,7435
315,7390,100316,7518
316,7515,100317,7518
317,7522,100318,7519
318,7448,100319,7519
319,7497,100320,7411
320,6669,100321,7442
321,7316,100322,7417
322,6845,100323,7518
323,7464,100324,7435
324,7546,100325,7441
325,7447,100326,7441
326,7447,100327,7466
327,6471,100328,7488
328,7348,100329,7460
329,7909,100330,7442
330,7497,100331,7418
331,6693,100332,7518
332,7346,100333,7511
333,7515,100334,7512
334,7984,100335,7492
335,7522,100336,7492
336,7541,100337,7518
337,7491,100338,7512
338,8009,100339,7435
339,7517,100340,7418
340,6593,100341,7517
341,7348,100342,7493
342,7883,100343,7487
343,8207,100344,7512
344,7492,100345,7492
345,6568,100346,7517
346,7326,100347,7518
347,7472,100348,7512
348,7473,100349,7410
349,6568,100350,7493
350,7415,100351,7417
351,7497,100352,7442
352,7448,100353,7436
353,7448,100354,7466
354,8083,100355,7518
355,7497,100356,7518
356,6673,100357,7444
357,7341,100358,7487
358,7491,100359,7493
359,6427,100360,7441
360,7514,100361,7518
361,7415,100362,7435
362,6695,100363,7512
363,7371,100364,7493
364,7497,100365,7518
365,7449,100366,7493
366,8033,100367,7518
367,7522,100368,7436
368,6452,100369,7417
369,4264,100370,7417
370,7489,100371,7441
371,7522,100372,7512
372,7498,100373,7512
373,6569,100374,7441
374,7439,100375,7417
375,8009,100376,7512
376,7467,100377,7436
377,7516,100378,7442
378,7498,100379,7418
379,7448,100380,7442
380,7448,100381,7436
381,6693,100382,7519
382,7317,100383,7518
383,7497,100384,7420
384,7449,100385,7487
385,7498,100386,7487
386,6617,100387,7441
387,7516,100388,7417
388,7522,100389,7518
389,7909,100390,7487
390,8157,100391,7512
391,7549,100392,7442
392,6543,100393,7417
393,7515,100394,7436
394,7472,100395,7512
395,8008,100396,7417
396,8007,100397,7416
397,4244,100398,7518
398,4286,100399,7512
399,7464,100400,7512
400,7498,100401,7416
401,6594,100402,7418
402,8074,100403,7513
403,8082,100404,7486
404,8106,100405,7493
405,8105,100406,7493
406,7472,100407,7519
407,7472,100408,7493
408,6669,100409,7487
409,7365,100410,7441
410,6604,100411,7417
411,7856,100412,7519
412,4219,100413,7512
413,4211,100414,7511
414,7902,100415,7417
415,7542,100416,7442
416,7933,100417,7519
417,7915,100418,7512
418,7448,100419,7436
419,7910,100420,7518
420,7909,100421,7518
421,7548,100422,7443
422,7982,100423,7438
423,7933,100424,7413
424,6282,100425,7493
425,7855,100426,7467
426,4220,100427,7493
427,7998,100428,7487
428,7471,100429,7487
429,6913,100430,7493
430,7549,100431,7517
431,7447,100432,7466
432,7548,100433,7512
433,6395,100434,7512
434,7421,100435,7417
435,7522,100436,7416
436,7547,100437,7487
437,8157,100438,7512
438,7522,100439,7441
439,8057,100440,7418
440,8157,100441,7518
441,7496,100442,7436
442,7491,100443,7460
443,6545,100444,7518
444,7372,100445,7417
445,7497,100446,7519
446,7472,100447,7512
447,8032,100448,7487
448,7522,100449,7416
449,7473,100450,7518
450,6644,100451,7518
451,4263,100452,7487
452,7439,100453,7512
453,7934,100454,7417
454,7548,100455,7417
455,6618,100456,7512
456,7372,100457,7436
457,7441,100458,7518
458,6743,100459,7518
459,7465,100460,7444
460,8133,100461,7487
461,8151,100462,7512
462,7959,100463,7441
463,7442,100464,7417
464,7497,100465,7493
465,7448,100466,7487
466,7473,100467,7487
467,6693,100468,7493
468,7341,100469,7492
469,7522,100470,7518
470,7983,100471,7436
471,7472,100472,7413
472,7885,100473,7493
473,8108,100474,7492
474,7983,100475,7492
475,7422,100476,7512
476,7959,100477,7512
477,7497,100478,7492
478,7497,100479,7518
479,6519,100480,7493
480,4294,100481,7435
481,7490,100482,7415
482,7473,100483,7493
483,7491,100484,7442
484,7883,100485,7513
485,7491,100486,7486
486,7389,100487,7512
487,7496,100488,7518
488,7982,100489,7442
489,7472,100490,7493
490,7011,100491,7487
491,4244,100492,7487
492,7464,100493,7442
493,7497,100494,7441
494,7958,100495,7511
495,7447,100496,7512
496,7414,100497,7418
497,7521,100498,7442
498,8032,100499,7466
499,7467,100500,7460
500,6668,100501,7513
501,4293,100502,7393
502,4261,100503,7417
503,4279,100504,7411
504,4303,100505,7512
505,4261,100506,7420
506,4273,100507,7442
507,4286,100508,7435
508,4261,100509,7512
509,4237,100510,7518
510,9832,100511,7442
511,7471,100512,7442
512,7884,100513,7436
513,7447,100514,7371
514,6938,100515,7442
515,4269,100516,7418
516,4236,100517,7411
517,4136,100518,7494
518,7532,100519,7416
519,6550,100520,7518
520,7365,100521,7487
521,7515,100522,7487
522,6717,100523,7493
523,4269,100524,7518
524,4261,100525,7468
525,4305,100526,7437
526,4253,100527,7394
527,4237,100528,7492
528,4278,100529,7443
529,7400,100530,7487
530,6598,100531,7487
531,7490,100532,7518
532,7490,100533,7517
533,7520,100534,7444
534,7933,100535,7443
535,7466,100536,7487
536,6626,100537,7394
537,7318,100538,7441
538,6851,100539,7518
539,4269,100540,7412
540,4255,100541,7441
541,4310,100542,7442
542,4278,100543,7442
543,4280,100544,7389
544,4253,100545,7493
545,4261,100546,7441
546,4286,100547,7518
547,7441,100548,7486
548,4211,100549,7487
549,4311,100550,7493
550,7456,100551,7415
