index,[2023-01-12 10:05:56.560] Ultrasonic Sensor Data Capture Start,index,[2023-01-12 10:05:56.560] Ultrasonic Sensor Data Capture Start
3,5442,99978,8860
4,5492,99979,8892
5,5525,99980,8861
6,5500,99981,8861
7,5344,99982,8836
8,5300,99983,8837
9,5500,99984,8836
10,5500,99985,8891
11,5444,99986,8841
12,5324,99987,8835
13,5451,99988,8886
14,5476,99989,8837
15,5501,99990,8887
16,5519,99991,8867
17,5324,99992,8868
18,5501,99993,8860
19,5326,99994,8861
20,5319,99995,8836
21,5301,99996,8861
22,5501,99997,8862
23,5451,99998,8841
24,5320,99999,8867
25,5302,100000,8861
26,5426,100001,8861
27,5475,100002,8886
28,5319,100003,8862
29,5300,100004,8842
30,5300,100005,8843
31,5319,100006,8861
32,5300,100007,8861
33,5350,100008,8861
34,5319,100009,8836
35,5400,100010,8836
36,5475,100011,8918
37,5499,100012,8867
38,5320,100013,8835
39,5326,100014,8835
40,5500,100015,8836
41,5450,100016,8837
42,5444,100017,8835
43,5300,100018,8842
44,5525,100019,8867
45,5350,100020,8886
46,5295,100021,8861
47,5301,100022,8836
48,5525,100023,8862
49,5350,100024,8836
50,5320,100025,8919
51,5301,100026,8886
52,5301,100027,8861
53,5271,100028,8836
54,5325,100029,8861
55,5301,100030,8836
56,5322,100031,8842
57,5325,100032,8867
58,5375,100033,8861
59,5319,100034,8913
60,5350,100035,8913
61,5476,100036,8835
62,5475,100037,8843
63,5320,100038,8842
64,5326,100039,8835
65,5476,100040,8912
66,5350,100041,8887
67,5494,100042,8835
68,5349,100043,8860
69,5500,100044,8919
70,5476,100045,8861
71,5544,100046,8836
72,5344,100047,8860
73,5351,100048,8835
74,5451,100049,8836
75,5476,100050,8918
76,5470,100051,8841
77,5469,100052,8835
78,5475,100053,8836
79,5500,100054,8912
80,5451,100055,8912
81,5494,100056,8842
82,5493,100057,8842
83,5469,100058,8836
84,5300,100059,8913
85,5276,100060,8836
86,5344,100061,8938
87,5350,100062,8841
88,5275,100063,8944
89,5343,100064,8861
90,5350,100065,8836
91,5300,100066,8861
92,5273,100067,8913
93,5500,100068,8842
94,5500,100069,8842
95,5525,100070,8862
96,5519,100071,8836
97,5420,100072,8835
98,5444,100073,8835
99,5450,100074,8835
100,5500,100075,8913
101,5450,100076,8866
102,5320,100077,8860
103,5301,100078,8912
104,5426,100079,8913
105,5420,100080,8913
106,5495,100081,8842
107,5450,100082,8867
108,5426,100083,8860
109,5426,100084,8887
110,5370,100085,8913
111,5518,100086,8862
112,5474,100087,8842
113,5450,100088,8866
114,5475,100089,8886
115,5469,100090,8860
116,5368,100091,8913
117,5300,100092,8937
118,5276,100093,8867
119,5276,100094,8886
120,5451,100095,8887
121,5303,100096,8837
122,5420,100097,8862
123,5425,100098,8836
124,5351,100099,8943
125,5327,100100,8886
126,5320,100101,8861
127,5275,100102,8836
128,5300,100103,8835
129,5276,100104,8835
130,5426,100105,8918
131,5450,100106,8860
132,5444,100107,8937
133,5325,100108,8836
134,5328,100109,8836
135,5476,100110,8937
136,5469,100111,8842
137,5395,100112,8860
138,5500,100113,8862
139,5426,100114,8837
140,5401,100115,8861
141,5494,100116,8938
142,5494,100117,8842
143,5475,100118,8911
144,5451,100119,8861
145,5475,100120,8836
146,5469,100121,8836
147,5319,100122,8861
148,5524,100123,8843
149,5476,100124,8842
150,5475,100125,8834
151,5519,100126,8861
152,5494,100127,8836
153,5469,100128,8835
154,5350,100129,8887
155,5451,100130,8842
156,5525,100131,8868
157,5469,100132,8861
158,5494,100133,8834
159,5500,100134,8837
160,5525,100135,8912
161,5500,100136,8835
162,5350,100137,8943
163,5295,100138,8835
164,5325,100139,8836
165,5325,100140,8911
166,5319,100141,8862
167,5276,100142,8861
168,5375,100143,8893
169,5295,100144,8887
170,5350,100145,8887
171,5276,100146,8862
172,5319,100147,8836
173,5300,100148,8860
174,5350,100149,8866
175,5319,100150,8866
176,5300,100151,8861
177,5349,100152,8862
178,5295,100153,8836
179,5276,100154,8912
180,5350,100155,8867
181,5294,100156,8866
182,5349,100157,8834
183,5375,100158,8938
184,5344,100159,8912
185,5325,100160,8913
186,5500,100161,8893
187,5525,100162,8835
188,5344,100163,8836
189,5301,100164,8837
190,5525,100165,8835
191,5475,100166,8887
192,5326,100167,8841
193,5326,100168,8868
194,5500,100169,8887
195,5301,100170,8836
196,5295,100171,8912
197,5300,100172,8938
198,5399,100173,8919
199,5295,100174,8912
200,5300,100175,8834
201,5525,100176,8862
202,5525,100177,8912
203,5319,100178,8836
204,5300,100179,8918
205,5476,100180,8835
206,5475,100181,8836
207,5494,100182,8837
208,5318,100183,8861
209,5300,100184,8836
210,5325,100185,8862
211,5344,100186,8842
212,5350,100187,8841
213,5276,100188,8860
214,5443,100189,8887
215,5450,100190,8862
216,5327,100191,8912
217,5401,100192,8893
218,5418,100193,8912
219,5300,100194,8835
220,5475,100195,8912
221,5525,100196,8835
222,5494,100197,8862
223,5319,100198,8893
224,5301,100199,8836
225,5275,100200,8835
226,5350,100201,8913
227,5450,100202,8912
228,5426,100203,8862
229,5494,100204,8867
230,5494,100205,8861
231,5325,100206,8862
232,5475,100207,8913
233,5326,100208,8912
234,5295,100209,8869
235,5300,100210,8919
236,5325,100211,8835
237,5294,100212,8888
238,5324,100213,8860
239,5275,100214,8888
240,5293,100215,8893
241,5275,100216,8918
242,5299,100217,8836
243,5300,100218,8861
244,5425,100219,8912
245,5450,100220,8938
246,5295,100221,8843
247,5276,100222,8861
248,5426,100223,8862
249,5444,100224,8913
250,5395,100225,8887
251,5450,100226,8887
252,5450,100227,8842
253,5475,100228,8861
254,5469,100229,8836
255,5320,100230,8836
256,5300,100231,8938
257,5300,100232,8862
258,5300,100233,8868
259,5426,100234,8868
260,5475,100235,8861
261,5494,100236,8837
262,5343,100237,8837
263,5300,100238,8938
264,5300,100239,8842
265,5269,100240,8867
266,5324,100241,8937
267,5276,100242,8861
268,5300,100243,8837
269,5425,100244,8836
270,5325,100245,8867
271,5294,100246,8843
272,5276,100247,8836
273,5300,100248,8861
274,5300,100249,8912
275,5475,100250,8938
276,5475,100251,8842
277,5500,100252,8867
278,5469,100253,8835
279,5324,100254,8938
280,5476,100255,8887
281,5500,100256,8862
282,5475,100257,8894
283,5519,100258,8867
284,5320,100259,8886
285,5524,100260,8836
286,5550,100261,8861
287,5450,100262,8938
288,5495,100263,8843
289,5445,100264,8892
290,5468,100265,8861
291,5300,100266,8862
292,5449,100267,8836
293,5294,100268,8836
294,5275,100269,8861
295,5276,100270,8843
296,5318,100271,8867
297,5276,100272,8860
298,5301,100273,8861
299,5300,100274,8837
300,5426,100275,8861
301,5401,100276,8889
302,5444,100277,8868
303,5494,100278,8835
304,5475,100279,8938
305,5425,100280,8887
306,5475,100281,8836
307,5469,100282,8866
308,5444,100283,8868
309,5475,100284,8886
310,5451,100285,8861
311,5451,100286,8836
312,5500,100287,8836
313,5420,100288,8837
314,5426,100289,8867
315,5500,100290,8893
316,5500,100291,8887
317,5499,100292,8836
318,5445,100293,8886
319,5469,100294,8861
320,5475,100295,8867
321,5426,100296,8841
322,5475,100297,8860
323,5469,100298,8937
324,5469,100299,8912
325,5494,100300,8861
326,5450,100301,8842
327,5303,100302,8893
328,5419,100303,8860
329,5444,100304,8938
330,5475,100305,8836
331,5303,100306,8862
332,5444,100307,8867
333,5468,100308,8867
334,5450,100309,8862
335,5450,100310,8836
336,5499,100311,8913
337,5475,100312,8836
338,5444,100313,8918
339,5493,100314,8841
340,5350,100315,8835
341,5499,100316,8836
342,5325,100317,8912
343,5469,100318,8912
344,5324,100319,8918
345,5401,100320,8912
346,5493,100321,8836
347,5493,100322,8836
348,5325,100323,8837
349,5500,100324,8837
350,5476,100325,8938
351,5445,100326,8867
352,5444,100327,8861
353,5475,100328,8836
354,5450,100329,8835
355,5525,100330,8938
356,5501,100331,8842
357,5445,100332,8842
358,5494,100333,8840
359,5350,100334,8861
360,5451,100335,8913
361,5476,100336,8861
362,5469,100337,8887
363,5444,100338,8867
364,5500,100339,8842
365,5303,100340,8861
366,5395,100341,8836
367,5395,100342,8837
368,5476,100343,8862
369,5426,100344,8837
370,5450,100345,8842
371,5419,100346,8842
372,5444,100347,8860
373,5349,100348,8938
374,5300,100349,8861
375,5294,100350,8836
376,5275,100351,8868
377,5300,100352,8868
378,5325,100353,8837
379,5476,100354,8862
380,5475,100355,8836
381,5450,100356,8836
382,5469,100357,8836
383,5325,100358,8919
384,5476,100359,8912
385,5500,100360,8888
386,5420,100361,8938
387,5518,100362,8837
388,5469,100363,8843
389,5450,100364,8843
390,5426,100365,8861
391,5451,100366,8861
392,5469,100367,8861
393,5469,100368,8862
394,5475,100369,8862
395,5451,100370,8868
396,5451,100371,8911
397,5493,100372,8836
398,5444,100373,8861
399,5450,100374,8862
400,5327,100375,8861
401,5519,100376,8867
402,5444,100377,8842
403,5469,100378,8862
404,5524,100379,8862
405,5327,100380,8862
406,5376,100381,8886
407,5445,100382,8913
408,5450,100383,8918
409,5450,100384,8887
410,5500,100385,8862
411,5494,100386,8862
412,5344,100387,8861
413,5300,100388,8869
414,5325,100389,8893
415,5344,100390,8862
416,5300,100391,8938
417,5425,100392,8861
418,5469,100393,8888
419,5519,100394,8868
420,5494,100395,8861
421,5475,100396,8837
422,5304,100397,8887
423,5420,100398,8836
424,5469,100399,8837
425,5519,100400,8868
426,5500,100401,8867
427,5549,100402,8913
428,5525,100403,8913
429,5325,100404,8836
430,5325,100405,8937
431,5476,100406,8843
432,5426,100407,8867
433,5450,100408,8937
434,5444,100409,8836
435,5470,100410,8912
436,5500,100411,8938
437,5525,100412,8841
438,5450,100413,8888
