index,[2023-01-12 22:33:26.329] Ultrasonic Sensor Data Capture Start,index,[2023-01-12 22:33:26.329] Ultrasonic Sensor Data Capture Start
3,6092,100008,6040
4,6048,100009,6098
5,6048,100010,6098
6,6100,100011,6054
7,6100,100012,6049
8,6023,100013,6049
9,6100,100014,6073
10,6099,100015,6049
11,6100,100016,6048
12,6099,100017,6073
13,6074,100018,6049
14,6048,100019,6073
15,6099,100020,6073
16,6047,100021,6048
17,6048,100022,6048
18,6099,100023,6048
19,6100,100024,6049
20,6074,100025,6049
21,6023,100026,6073
22,6099,100027,6073
23,6099,100028,6074
24,6099,100029,6098
25,6099,100030,6099
26,6100,100031,6099
27,6099,100032,6074
28,6099,100033,6048
29,6023,100034,6048
30,6099,100035,6098
31,6099,100036,6049
32,6024,100037,6073
33,6099,100038,6073
34,6100,100039,6123
35,6074,100040,6098
36,6099,100041,6048
37,6023,100042,6098
38,6099,100043,6092
39,6099,100044,6098
40,6074,100045,6099
41,6074,100046,6098
42,6074,100047,6098
43,6024,100048,6099
44,6049,100049,6098
45,6074,100050,6123
46,6047,100051,6098
47,6047,100052,6098
48,6099,100053,6049
49,6049,100054,6049
50,6099,100055,6074
51,6099,100056,6048
52,6099,100057,6073
53,6099,100058,6049
54,6074,100059,6024
55,6074,100060,6048
56,6099,100061,6098
57,6099,100062,6049
58,6099,100063,6098
59,6024,100064,6097
60,6023,100065,6073
61,6074,100066,6073
62,6074,100067,6093
63,6074,100068,6049
64,6099,100069,6098
65,6023,100070,6098
66,6099,100071,6098
67,6100,100072,6073
68,6023,100073,6073
69,6023,100074,6123
70,6099,100075,6048
71,6100,100076,6099
72,6100,100077,6098
73,6100,100078,6074
74,6099,100079,6098
75,6099,100080,6073
76,6047,100081,6073
77,6099,100082,6098
78,6023,100083,6124
79,6100,100084,6098
80,6100,100085,6073
81,6048,100086,6074
82,6048,100087,6073
83,6047,100088,6049
84,6099,100089,6049
85,6053,100090,6024
86,6100,100091,6073
87,6099,100092,6099
88,6048,100093,6073
89,6100,100094,6073
90,6023,100095,6074
91,6100,100096,6048
92,6024,100097,6048
93,6048,100098,6098
94,6099,100099,6098
95,6025,100100,6098
96,6100,100101,6074
97,6100,100102,6099
98,6100,100103,6074
99,6100,100104,6098
100,6100,100105,6098
101,6099,100106,6073
102,6099,100107,6099
103,6099,100108,6049
104,6048,100109,6098
105,6100,100110,6099
106,6100,100111,6099
107,6048,100112,6049
108,6099,100113,6099
109,6100,100114,6049
110,6023,100115,6073
111,6099,100116,6073
112,6024,100117,6048
113,6100,100118,6048
114,6100,100119,6048
115,6100,100120,6050
116,6100,100121,6074
117,6048,100122,6074
118,6099,100123,6098
119,6099,100124,6098
120,6100,100125,6049
121,6100,100126,6049
122,6024,100127,6048
123,6100,100128,6048
124,6024,100129,6048
125,6100,100130,6048
126,6075,100131,6048
127,6050,100132,6049
128,6074,100133,6049
129,6099,100134,6049
130,6024,100135,6099
131,6100,100136,6073
132,6024,100137,6024
133,6048,100138,6048
134,6099,100139,6048
135,6100,100140,6048
136,6100,100141,6072
137,6100,100142,6048
138,6100,100143,6073
139,6100,100144,6099
140,6100,100145,6049
141,6101,100146,6049
142,6125,100147,6098
143,6048,100148,6048
144,6100,100149,6048
145,6100,100150,6074
146,6100,100151,6098
147,6100,100152,6024
148,6100,100153,6048
149,6100,100154,6048
150,6055,100155,6049
151,6100,100156,6049
152,6100,100157,6074
153,6100,100158,6048
154,6075,100159,6049
155,6075,100160,6048
156,6050,100161,6049
157,6075,100162,6024
158,6075,100163,6048
159,6099,100164,6073
160,6100,100165,6048
161,6100,100166,6074
162,6100,100167,6049
163,6100,100168,6054
164,6048,100169,6072
165,6100,100170,6048
166,6100,100171,6074
167,6075,100172,6098
168,6074,100173,6098
169,6100,100174,6099
170,6100,100175,6098
171,6100,100176,6098
172,6100,100177,6099
173,6075,100178,6073
174,6100,100179,6048
175,6100,100180,6074
176,6100,100181,6049
177,6099,100182,6098
178,6075,100183,6098
179,6100,100184,6124
180,6100,100185,6074
181,6075,100186,6049
182,6099,100187,6074
183,6100,100188,6073
184,6075,100189,6098
185,6099,100190,6098
186,6101,100191,6049
187,6075,100192,6099
188,6100,100193,6098
189,6100,100194,6049
190,6075,100195,6048
191,6075,100196,6048
192,6099,100197,6073
193,6075,100198,6098
194,6051,100199,6073
195,6100,100200,6099
196,6025,100201,6099
197,6074,100202,6098
198,6075,100203,6049
199,6050,100204,6054
200,6075,100205,6098
201,6051,100206,6123
202,6100,100207,6099
203,6075,100208,6073
204,6026,100209,6049
205,6075,100210,6074
206,6075,100211,6048
207,6100,100212,6049
208,6100,100213,6048
209,6100,100214,6049
210,6100,100215,6048
211,6101,100216,6098
212,6100,100217,6098
213,6100,100218,6049
214,6075,100219,6099
215,6026,100220,6074
216,6026,100221,6048
217,6101,100222,6073
218,6100,100223,6048
219,6100,100224,6098
220,6075,100225,6048
221,6026,100226,6074
222,6100,100227,6049
223,6099,100228,6048
224,6075,100229,6049
225,6099,100230,6048
226,6025,100231,6074
227,6025,100232,6049
228,6099,100233,6073
229,6075,100234,6048
230,6026,100235,6073
231,6101,100236,6048
232,6100,100237,6049
233,6074,100238,6074
234,6075,100239,6073
235,6075,100240,6048
236,6075,100241,6048
237,6075,100242,6048
238,6074,100243,6074
239,6100,100244,6049
240,6100,100245,6099
241,6100,100246,6099
242,6026,100247,6048
243,6026,100248,6098
244,6075,100249,6098
245,6026,100250,6074
246,6075,100251,6074
247,6026,100252,6098
248,6075,100253,6098
249,6100,100254,6074
250,6101,100255,6098
251,6100,100256,6123
252,6051,100257,6098
253,6026,100258,6099
254,6099,100259,6098
255,6101,100260,6098
256,6075,100261,6098
257,6101,100262,6048
258,6075,100263,6074
259,6026,100264,6098
260,6100,100265,6124
261,6099,100266,6098
262,6075,100267,6099
263,6100,100268,6073
264,6026,100269,6098
265,6025,100270,6047
266,6075,100271,6074
267,6075,100272,6098
268,6075,100273,6074
269,6076,100274,6048
270,6075,100275,6073
271,6075,100276,6099
272,6075,100277,6098
273,6100,100278,6099
274,6075,100279,6098
275,6100,100280,6099
276,6100,100281,6074
277,6099,100282,6098
278,6075,100283,6073
279,6100,100284,6098
280,6075,100285,6049
281,6025,100286,6098
282,6100,100287,6098
283,6050,100288,6099
284,6051,100289,6123
285,6075,100290,6098
286,6025,100291,6123
287,6075,100292,6098
288,6100,100293,6073
289,6075,100294,6073
290,6026,100295,6073
291,6100,100296,6099
292,6075,100297,6024
293,6075,100298,6123
294,6100,100299,6049
295,6025,100300,6073
296,6075,100301,6049
297,6050,100302,6073
298,6076,100303,6048
299,6075,100304,6048
300,6076,100305,6073
301,6100,100306,6098
302,6075,100307,6048
303,6077,100308,6049
304,6075,100309,6049
305,6100,100310,6073
306,6026,100311,6098
307,6026,100312,6098
308,6098,100313,6098
309,6026,100314,6099
310,6050,100315,6074
311,6075,100316,6073
312,6075,100317,6098
313,6075,100318,6048
314,6100,100319,6098
315,6075,100320,6099
316,6026,100321,6098
317,6026,100322,6073
318,6100,100323,6073
319,6026,100324,6098
320,6026,100325,6098
321,6026,100326,6098
322,6075,100327,6098
323,6100,100328,6098
324,6075,100329,6098
325,6075,100330,6074
326,6075,100331,6098
327,6100,100332,6048
328,6075,100333,6049
329,6075,100334,6052
330,6100,100335,6073
331,6075,100336,6099
332,6075,100337,6098
333,6075,100338,6073
334,6075,100339,6074
335,6075,100340,6073
336,6100,100341,6073
337,6075,100342,6049
338,6075,100343,6098
339,6075,100344,6073
340,6074,100345,6098
341,6076,100346,6075
342,6075,100347,6073
343,6075,100348,6048
344,6050,100349,6048
345,6075,100350,6048
346,6075,100351,6074
347,6075,100352,6073
348,6075,100353,6073
349,6100,100354,6073
350,6031,100355,6099
351,6025,100356,6098
352,6024,100357,6098
353,6025,100358,6098
354,6026,100359,6098
355,6026,100360,6074
356,6026,100361,6073
357,6050,100362,6098
358,6050,100363,6124
359,6050,100364,6048
360,6075,100365,6073
361,6050,100366,6098
362,6100,100367,6098
363,6100,100368,6049
364,6051,100369,6073
365,6051,100370,6075
366,6026,100371,6048
367,6075,100372,6073
368,6075,100373,6124
369,6075,100374,6098
370,6100,100375,6098
371,6100,100376,6123
372,6050,100377,6092
373,6026,100378,6073
374,6027,100379,6098
375,6100,100380,6123
376,6100,100381,6073
377,6100,100382,6098
378,6050,100383,6123
379,6025,100384,6123
380,6025,100385,6098
381,6100,100386,6073
382,6075,100387,6073
383,6100,100388,6099
384,6075,100389,6098
385,6050,100390,6048
386,6076,100391,6123
387,6100,100392,6098
388,6076,100393,6098
389,6050,100394,6098
390,6025,100395,6047
391,6025,100396,6098
392,6024,100397,6123
393,6075,100398,6098
394,6025,100399,6098
395,6025,100400,6123
396,6026,100401,6047
397,6025,100402,6047
398,6026,100403,6047
399,6031,100404,6123
400,6025,100405,6116
401,6050,100406,6098
402,6075,100407,6123
403,6100,100408,6098
404,6096,100409,6098
405,6049,100410,6098
406,6100,100411,6097
407,6076,100412,6098
408,6076,100413,6098
409,6100,100414,6123
410,6100,100415,6098
411,6100,100416,6123
412,6100,100417,6123
413,6100,100418,6098
414,6101,100419,6098
415,6100,100420,6073
416,6100,100421,6098
417,6100,100422,6123
418,6100,100423,6123
419,6100,100424,6098
420,6100,100425,6071
421,6100,100426,6099
422,6100,100427,6098
423,6076,100428,6098
424,6100,100429,6098
425,6100,100430,6092
426,6076,100431,6098
427,6100,100432,6123
428,6075,100433,6098
429,6075,100434,6098
430,6075,100435,6098
431,6100,100436,6073
432,6100,100437,6123
433,6026,100438,6123
434,6075,100439,6123
435,6075,100440,6123
436,6075,100441,6098
437,6026,100442,6098
438,6050,100443,6073
439,6075,100444,6098
440,6100,100445,6097
441,6101,100446,6098
442,6075,100447,6098
443,6027,100448,6098
444,6026,100449,6123
445,6075,100450,6097
446,6100,100451,6098
447,6075,100452,6123
448,6076,100453,6123
449,6027,100454,6123
450,6076,100455,6123
451,6075,100456,6047
452,6075,100457,6123
453,6026,100458,6123
454,6101,100459,6098
455,6026,100460,6097
456,6026,100461,6098
457,6076,100462,6123
458,6076,100463,6123
459,6027,100464,6124
460,6053,100465,6122
461,6076,100466,6097
462,6076,100467,6098
463,6027,100468,6072
464,6076,100469,6048
465,6057,100470,6048
466,6027,100471,6092
467,6026,100472,6098
468,6076,100473,6123
469,6051,100474,6123
470,6026,100475,6097
471,6026,100476,6098
472,6026,100477,6098
473,6095,100478,6123
474,6075,100479,6098
475,6101,100480,6097
476,6026,100481,6098
477,6051,100482,6097
478,6057,100483,6123
479,6026,100484,6048
480,6049,100485,6098
481,6026,100486,6098
482,6025,100487,6092
483,6126,100488,6123
484,6050,100489,6123
485,6025,100490,6098
486,6050,100491,6073
487,6126,100492,6048
488,6050,100493,6048
489,6127,100494,6073
490,6026,100495,6123
491,6026,100496,6123
492,6026,100497,6098
493,6027,100498,6123
494,6026,100499,6073
495,6026,100500,6097
496,6075,100501,6098
497,6027,100502,6098
498,6050,100503,6123
499,6026,100504,6048
500,6026,100505,6097
501,6050,100506,6098
502,6049,100507,6049
503,6027,100508,6054
504,6026,100509,6098
505,6051,100510,6123
506,6026,100511,6098
507,6076,100512,6048
508,6026,100513,6073
509,6027,100514,6097
510,6076,100515,6123
511,6026,100516,6098
512,6026,100517,6123
513,6051,100518,6098
514,6027,100519,6073
515,6032,100520,6098
516,6076,100521,6098
517,6026,100522,6123
518,6027,100523,6098
519,6051,100524,6098
520,6026,100525,6073
521,6051,100526,6098
522,6076,100527,6098
523,6026,100528,6098
524,6076,100529,6098
525,6051,100530,6122
526,6026,100531,6098
527,6076,100532,6098
528,6077,100533,6098
529,6026,100534,6098
530,6026,100535,6048
531,6026,100536,6097
532,6027,100537,6123
533,6027,100538,6098
534,6026,100539,6098
535,6026,100540,6097
536,6027,100541,6098
537,6027,100542,6123
538,6027,100543,6098
539,6033,100544,6098
540,6026,100545,6098
541,6026,100546,6098
542,6026,100547,6097
543,6025,100548,6073
544,6027,100549,6073
545,6051,100550,6048
546,6026,100551,6073
547,6027,100552,6073
548,6127,100553,6098
549,6102,100554,6098
550,6026,100555,6123
551,6051,100556,6123
552,6027,100557,6098
553,6027,100558,6098
554,6052,100559,6073
555,6027,100560,6098
556,6051,100561,6098
557,6026,100562,6098
558,6026,100563,6047
559,6026,100564,6122
560,6102,100565,6098
561,6026,100566,6047
562,6026,100567,6123
563,6033,100568,6123
564,6103,100569,6123
565,6026,100570,6123
566,6051,100571,6047
567,6027,100572,6123
568,6026,100573,6073
569,6027,100574,6097
570,6026,100575,6123
571,6032,100576,6098
572,6051,100577,6073
573,6027,100578,6073
574,6052,100579,6048
575,6026,100580,6098
576,6026,100581,6072
577,6027,100582,6098
578,6026,100583,6098
579,6026,100584,6123
580,6051,100585,6122
581,6026,100586,6098
582,6026,100587,6123
583,6026,100588,6124
584,6051,100589,6123
585,6050,100590,6123
586,6026,100591,6123
587,6026,100592,6073
588,6103,100593,6049
589,6026,100594,6097
590,6050,100595,6097
591,6026,100596,6048
592,6026,100597,6072
593,6026,100598,6097
594,6027,100599,6048
595,6052,100600,6048
596,6026,100601,6073
597,6102,100602,6097
598,6026,100603,6097
599,6102,100604,6097
600,6027,100605,6073
601,6027,100606,6073
602,6026,100607,6073
603,6026,100608,6097
604,6027,100609,6123
605,6026,100610,6123
606,6026,100611,6098
607,6026,100612,6123
608,6026,100613,6098
609,6051,100614,6098
610,6102,100615,6098
611,6027,100616,6098
612,6026,100617,6098
613,6026,100618,6098
614,6032,100619,6046
615,6102,100620,6123
616,6027,100621,6098
617,6027,100622,6098
618,6027,100623,6097
619,6077,100624,6097
620,6027,100625,6123
621,6077,100626,6098
622,6077,100627,6098
623,6102,100628,6098
624,6077,100629,6123
625,6077,100630,6073
626,6027,100631,6123
627,6052,100632,6123
628,6052,100633,6097
629,6052,100634,6097
630,6077,100635,6072
631,6028,100636,6098
632,6077,100637,6073
633,6052,100638,6097
634,6028,100639,6098
635,6077,100640,6094
636,6028,100641,6098
637,6053,100642,6098
638,6028,100643,6098
639,6052,100644,6098
640,6076,100645,6098
641,6052,100646,6123
642,6051,100647,6098
643,6027,100648,6046
644,6027,100649,6123
645,6034,100650,6098
646,6028,100651,6098
647,6077,100652,6098
648,6077,100653,6123
649,6077,100654,6124
650,6052,100655,6123
651,6028,100656,6098
652,6028,100657,6123
653,6103,100658,6097
654,6051,100659,6074
655,6103,100660,6098
656,6051,100661,6098
657,6078,100662,6099
658,6102,100663,6098
659,6103,100664,6123
660,6032,100665,6098
661,6026,100666,6098
662,6051,100667,6098
663,6103,100668,6074
664,6051,100669,6074
665,6050,100670,6098
666,6027,100671,6048
667,6103,100672,6097
668,6052,100673,6048
669,6102,100674,6098
670,6051,100675,6098
671,6026,100676,6097
672,6103,100677,6098
673,6026,100678,6098
674,6103,100679,6098
675,6027,100680,6073
676,6051,100681,6123
677,6026,100682,6098
678,6103,100683,6073
679,6027,100684,6098
680,6027,100685,6098
681,6103,100686,6123
682,6103,100687,6098
683,6103,100688,6123
684,6051,100689,6123
685,6026,100690,6098
686,6051,100691,6098
687,6026,100692,6098
688,6096,100693,6097
689,6050,100694,6073
690,6077,100695,6073
691,6077,100696,6098
692,6077,100697,6098
693,6077,100698,6098
694,6051,100699,6098
695,6026,100700,6122
696,6051,100701,6123
697,6051,100702,6123
698,6026,100703,6049
699,6103,100704,6073
700,6026,100705,6048
701,6027,100706,6098
702,6051,100707,6054
703,6026,100708,6048
704,6102,100709,6073
705,6026,100710,6073
706,6057,100711,6048
707,6051,100712,6098
708,6051,100713,6098
709,6102,100714,6123
710,6026,100715,6098
711,6100,100716,6073
712,6103,100717,6048
713,6050,100718,6048
714,6050,100719,6099
715,6026,100720,6074
716,6051,100721,6048
717,6027,100722,6048
718,6027,100723,6073
719,6051,100724,6073
720,6026,100725,6048
721,6027,100726,6073
722,6027,100727,6098
723,6103,100728,6073
724,6030,100729,6123
725,6051,100730,6123
726,6051,100731,6098
727,6027,100732,6098
728,6051,100733,6099
729,6027,100734,6073
730,6027,100735,6048
731,6027,100736,6048
732,6027,100737,6073
733,6027,100738,6073
