index,[2023-01-05 23:22:43.140] Ultrasonic Sensor Data Capture Start,index,[2023-01-05 23:22:43.140] Ultrasonic Sensor Data Capture Start
3.0,4001.0,99995,3810
4.0,4027.0,99996,3797
5.0,4002.0,99997,3773
6.0,4027.0,99998,3797
7.0,4026.0,99999,3874
8.0,4001.0,100000,3803
9.0,4002.0,100001,3772
10.0,4001.0,100002,3772
11.0,4002.0,100003,3796
12.0,4026.0,100004,3906
13.0,4026.0,100005,3786
14.0,3925.0,100006,3821
15.0,4002.0,100007,3821
16.0,4026.0,100008,3773
17.0,4002.0,100009,3874
18.0,3977.0,100010,3879
19.0,4027.0,100011,3772
20.0,4009.0,100012,3772
21.0,4002.0,100013,3780
22.0,3901.0,100014,3829
23.0,4002.0,100015,3786
24.0,4002.0,100016,3827
25.0,4002.0,100017,3821
26.0,3977.0,100018,3797
27.0,4032.0,100019,3796
28.0,3977.0,100020,3874
29.0,3977.0,100021,3778
30.0,3976.0,100022,3772
31.0,3985.0,100023,3779
32.0,3977.0,100024,3781
33.0,3900.0,100025,3829
34.0,4002.0,100026,3786
35.0,4009.0,100027,3822
36.0,4001.0,100028,3797
37.0,4001.0,100029,3773
38.0,3909.0,100030,3797
39.0,3984.0,100031,3803
40.0,4002.0,100032,3754
41.0,4002.0,100033,3822
42.0,4002.0,100034,3773
43.0,3932.0,100035,3750
44.0,4002.0,100036,3829
45.0,3977.0,100037,3786
46.0,4002.0,100038,3898
47.0,4002.0,100039,3797
48.0,3925.0,100040,3772
49.0,3977.0,100041,3798
50.0,4002.0,100042,3804
51.0,3900.0,100043,3803
52.0,3879.0,100044,3847
53.0,4001.0,100045,3773
54.0,4002.0,100046,3780
55.0,4001.0,100047,3805
56.0,4002.0,100048,3786
57.0,4002.0,100049,3821
58.0,3985.0,100050,3797
59.0,4002.0,100051,3773
60.0,3977.0,100052,3797
61.0,4002.0,100053,3803
62.0,4004.0,100054,3778
63.0,4002.0,100055,3772
64.0,3977.0,100056,3772
65.0,4002.0,100057,3797
66.0,4002.0,100058,3811
67.0,3977.0,100059,3811
68.0,3903.0,100060,3829
69.0,4002.0,100061,3806
70.0,3925.0,100062,3805
71.0,4002.0,100063,3780
72.0,4002.0,100064,3805
73.0,4001.0,100065,3804
74.0,4002.0,100066,3805
75.0,4002.0,100067,3811
76.0,3879.0,100068,3811
77.0,4010.0,100069,3805
78.0,3977.0,100070,3805
79.0,4002.0,100071,3805
80.0,4002.0,100072,3805
81.0,4002.0,100073,3805
82.0,4001.0,100074,3805
83.0,3977.0,100075,3805
84.0,3952.0,100076,3811
85.0,3927.0,100077,3811
86.0,4002.0,100078,3805
87.0,4002.0,100079,3805
88.0,4002.0,100080,3805
89.0,3977.0,100081,3805
90.0,4001.0,100082,3806
91.0,4001.0,100083,3805
92.0,3909.0,100084,3805
93.0,4002.0,100085,3811
94.0,4002.0,100086,3811
95.0,3982.0,100087,3805
96.0,4001.0,100088,3805
97.0,4001.0,100089,3806
98.0,4002.0,100090,3805
99.0,4002.0,100091,3805
100.0,3977.0,100092,3805
101.0,4002.0,100093,3804
102.0,4002.0,100094,3811
103.0,3976.0,100095,3810
104.0,4002.0,100096,3805
105.0,4002.0,100097,3805
106.0,4002.0,100098,3804
107.0,4002.0,100099,3804
108.0,4002.0,100100,3805
109.0,3909.0,100101,3805
110.0,3909.0,100102,3805
111.0,4002.0,100103,3811
112.0,3909.0,100104,3811
113.0,3915.0,100105,3810
114.0,3951.0,100106,3805
115.0,3908.0,100107,3805
116.0,3909.0,100108,3805
117.0,4002.0,100109,3805
118.0,4001.0,100110,3804
119.0,4002.0,100111,3805
120.0,3926.0,100112,3805
121.0,3909.0,100113,3811
122.0,3914.0,100114,3811
123.0,4026.0,100115,3805
124.0,4002.0,100116,3805
125.0,4002.0,100117,3805
126.0,4002.0,100118,3804
127.0,3908.0,100119,3805
128.0,4002.0,100120,3805
129.0,4002.0,100121,3805
130.0,4001.0,100122,3812
131.0,3977.0,100123,3812
132.0,3976.0,100124,3805
133.0,4026.0,100125,3806
134.0,4001.0,100126,3805
135.0,3977.0,100127,3805
136.0,4002.0,100128,3805
137.0,4002.0,100129,3805
138.0,4002.0,100130,3805
139.0,4002.0,100131,3811
140.0,3909.0,100132,3812
141.0,4002.0,100133,3806
142.0,4002.0,100134,3805
143.0,4002.0,100135,3806
144.0,4002.0,100136,3806
145.0,4002.0,100137,3805
146.0,4026.0,100138,3805
147.0,4001.0,100139,3805
148.0,4002.0,100140,3811
149.0,4002.0,100141,3812
150.0,3977.0,100142,3805
151.0,4027.0,100143,3806
152.0,3977.0,100144,3805
153.0,4002.0,100145,3806
154.0,3926.0,100146,3805
155.0,4001.0,100147,3805
156.0,4027.0,100148,3805
157.0,4002.0,100149,3811
158.0,3977.0,100150,3811
159.0,3981.0,100151,3804
160.0,3977.0,100152,3805
161.0,4002.0,100153,3805
162.0,4002.0,100154,3805
163.0,3977.0,100155,3805
164.0,3886.0,100156,3806
165.0,3887.0,100157,3806
166.0,4002.0,100158,3811
167.0,4002.0,100159,3810
168.0,3983.0,100160,3805
169.0,3927.0,100161,3805
170.0,3977.0,100162,3806
171.0,4002.0,100163,3805
172.0,4002.0,100164,3805
173.0,3886.0,100165,3805
174.0,4002.0,100166,3806
175.0,4002.0,100167,3811
176.0,3952.0,100168,3811
177.0,3983.0,100169,3811
178.0,4002.0,100170,3805
179.0,3977.0,100171,3805
180.0,3977.0,100172,3806
181.0,3978.0,100173,3805
182.0,3977.0,100174,3805
183.0,3952.0,100175,3805
184.0,3911.0,100176,3806
185.0,3911.0,100177,3812
186.0,3917.0,100178,3811
187.0,4002.0,100179,3805
188.0,3953.0,100180,3805
189.0,3911.0,100181,3805
190.0,3977.0,100182,3805
191.0,3952.0,100183,3806
