index,[2023-01-03 19:56:30.233] Ultrasonic Sensor Data Capture Start,index,[2023-01-03 19:56:30.233] Ultrasonic Sensor Data Capture Start
3,4817,100008,863
4,4943,100009,922
5,4942,100010,864
6,4943,100011,916
7,4627,100012,924
8,4799,100013,870
9,4802,100014,891
10,4606,100015,916
11,4793,100016,916
12,4698,100017,864
13,4817,100018,888
14,4817,100019,888
15,4743,100020,888
16,4724,100021,899
17,4774,100022,864
18,4942,100023,916
19,4975,100024,922
20,4951,100025,863
21,4926,100026,924
22,4950,100027,864
23,4975,100028,922
24,4784,100029,863
25,4975,100030,863
26,4974,100031,888
27,4754,100032,894
28,4638,100033,863
29,4932,100034,864
30,4711,100035,864
31,4751,100036,863
32,4975,100037,888
33,5000,100038,864
34,4975,100039,864
35,4950,100040,864
36,4950,100041,864
37,4907,100042,894
38,4925,100043,870
39,4925,100044,864
40,4580,100045,863
41,4800,100046,863
42,4781,100047,864
43,4975,100048,888
44,4925,100049,888
45,4901,100050,864
46,4659,100051,888
47,4757,100052,863
48,4926,100053,870
49,4950,100054,863
50,4951,100055,888
51,4932,100056,864
52,4950,100057,891
53,4975,100058,864
54,4711,100059,864
55,4834,100060,864
56,4687,100061,888
57,4711,100062,864
58,5000,100063,863
59,4852,100064,870
60,4950,100065,863
61,4975,100066,864
62,4975,100067,863
63,4730,100068,891
64,4834,100069,891
65,4926,100070,888
66,4950,100071,864
67,4926,100072,888
68,4932,100073,888
69,4950,100074,870
70,4924,100075,889
71,4926,100076,863
72,4950,100077,864
73,4975,100078,863
74,4950,100079,864
75,4926,100080,864
76,4950,100081,864
77,4975,100082,863
78,4956,100083,864
79,4729,100084,864
80,4583,100085,870
81,4607,100086,863
82,4992,100087,864
83,5025,100088,864
84,5000,100089,863
85,5025,100090,891
86,4802,100091,891
87,4685,100092,892
88,5075,100093,891
89,4851,100094,888
90,4655,100095,891
91,4778,100096,898
92,5001,100097,864
93,5049,100098,863
94,4802,100099,864
95,4630,100100,892
96,4729,100101,891
97,4777,100102,892
98,4783,100103,892
99,4782,100104,892
100,5000,100105,892
101,4658,100106,898
102,4802,100107,892
103,5001,100108,864
104,5050,100109,864
105,4850,100110,863
106,4581,100111,891
107,4729,100112,892
108,4777,100113,892
109,4949,100114,891
110,4826,100115,891
111,4704,100116,892
112,5025,100117,897
113,4875,100118,891
114,4636,100119,891
115,4758,100120,891
116,4826,100121,892
117,4803,100122,864
118,5025,100123,892
119,4605,100124,891
120,4752,100125,891
121,4759,100126,892
122,5000,100127,892
123,4900,100128,898
