index,[2023-01-10 22:01:29.203] Ultrasonic Sensor Data Capture Start,index,[2023-01-10 22:01:29.203] Ultrasonic Sensor Data Capture Start
3,673,100008,664
4,674,100009,663
5,674,100010,657
6,673,100011,661
7,673,100012,661
8,673,100013,661
9,673,100014,658
10,673,100015,633
11,673,100016,657
12,679,100017,632
13,680,100018,629
14,680,100019,625
15,680,100020,649
16,652,100021,625
17,676,100022,625
18,652,100023,649
19,704,100024,649
20,676,100025,625
21,673,100026,649
22,674,100027,663
23,698,100028,663
24,674,100029,663
25,698,100030,657
26,698,100031,657
27,698,100032,657
28,680,100033,657
29,680,100034,657
30,704,100035,657
31,680,100036,657
32,698,100037,664
33,673,100038,663
34,698,100039,663
35,674,100040,657
36,673,100041,657
37,673,100042,658
38,673,100043,657
39,704,100044,657
40,704,100045,658
41,679,100046,657
42,674,100047,663
43,698,100048,664
44,674,100049,663
45,673,100050,663
46,673,100051,657
47,673,100052,657
48,698,100053,658
49,677,100054,657
50,704,100055,658
51,704,100056,657
52,679,100057,657
53,698,100058,663
54,673,100059,664
55,673,100060,663
56,673,100061,663
57,673,100062,657
58,673,100063,657
59,673,100064,657
60,680,100065,657
61,704,100066,658
62,704,100067,657
63,680,100068,658
64,674,100069,663
65,673,100070,664
66,695,100071,664
67,698,100072,657
68,674,100073,657
69,695,100074,657
70,674,100075,657
71,679,100076,657
72,680,100077,657
73,704,100078,657
74,673,100079,664
75,673,100080,663
76,698,100081,639
77,673,100082,664
78,698,100083,633
79,674,100084,657
80,674,100085,657
81,677,100086,657
82,704,100087,657
83,704,100088,658
84,704,100089,657
85,698,100090,663
86,674,100091,664
87,673,100092,664
88,698,100093,663
89,698,100094,658
90,698,100095,657
91,673,100096,657
92,680,100097,658
93,680,100098,657
94,704,100099,657
95,679,100100,657
96,673,100101,664
97,673,100102,663
98,674,100103,663
99,698,100104,657
100,673,100105,657
101,698,100106,657
102,673,100107,657
103,679,100108,658
104,680,100109,657
105,704,100110,658
106,698,100111,663
