index,[2023-01-11 12:57:44.253] Capture Start,index,[2023-01-11 12:57:44.253] Capture Start
3,2861,100008,2624
4,2840,100009,2624
5,2846,100010,2624
6,2791,100011,2624
7,2841,100012,2621
8,2840,100013,2616
9,2854,100014,2616
10,2836,100015,2616
11,2914,100016,2616
12,2889,100017,2622
13,2846,100018,2621
14,2799,100019,2622
15,2848,100020,2622
16,2837,100021,2622
17,2865,100022,2629
18,2865,100023,2629
19,2840,100024,2630
20,2841,100025,2654
21,2895,100026,2654
22,2767,100027,2654
23,2862,100028,2630
24,2911,100029,2648
25,2886,100030,2599
26,2897,100031,2599
27,2844,100032,2616
28,2837,100033,2616
29,2917,100034,2591
30,2838,100035,2616
31,2887,100036,2750
32,2870,100037,2654
33,2844,100038,2630
34,2861,100039,2630
35,2870,100040,2630
36,2821,100041,2624
37,2845,100042,2648
38,2870,100043,2623
39,2870,100044,2624
40,2845,100045,2624
41,2870,100046,2630
42,2870,100047,2630
43,2852,100048,2630
44,2870,100049,2630
45,2821,100050,2624
46,2870,100051,2624
47,2846,100052,2623
48,2846,100053,2624
49,2869,100054,2624
50,2846,100055,2630
51,2870,100056,2629
52,2851,100057,2630
53,2852,100058,2629
54,2870,100059,2624
55,2846,100060,2624
56,2846,100061,2624
57,2845,100062,2623
58,2870,100063,2623
59,2846,100064,2629
60,2845,100065,2629
61,2875,100066,2630
62,2852,100067,2629
63,2846,100068,2624
64,2846,100069,2624
65,2845,100070,2624
66,2846,100071,2624
67,2870,100072,2623
68,2869,100073,2627
69,2870,100074,2629
70,2851,100075,2606
71,2876,100076,2630
72,2870,100077,2623
73,2870,100078,2624
74,2870,100079,2623
75,2846,100080,2624
76,2846,100081,2624
77,2845,100082,2623
78,2846,100083,2629
79,2851,100084,2629
80,2876,100085,2629
81,2846,100086,2624
82,2846,100087,2648
83,2846,100088,2624
84,2846,100089,2623
85,2870,100090,2623
86,2845,100091,2623
87,2870,100092,2630
88,2846,100093,2605
89,2852,100094,2630
90,2846,100095,2625
91,2821,100096,2648
92,2846,100097,2623
93,2846,100098,2624
94,2846,100099,2623
95,2846,100100,2623
96,2846,100101,2630
97,2846,100102,2630
98,2852,100103,2629
99,2846,100104,2630
100,2821,100105,2624
101,2870,100106,2624
102,2846,100107,2624
103,2846,100108,2623
104,2846,100109,2624
105,2846,100110,2630
106,2845,100111,2630
107,2852,100112,2629
108,2851,100113,2630
109,2821,100114,2623
110,2870,100115,2648
111,2869,100116,2624
112,2845,100117,2624
113,2894,100118,2623
114,2870,100119,2629
115,2846,100120,2629
116,2852,100121,2630
117,2896,100122,2629
118,2894,100123,2623
119,2896,100124,2624
120,2845,100125,2624
121,2845,100126,2623
122,2845,100127,2623
123,2846,100128,2629
124,2894,100129,2630
125,2852,100130,2630
126,2852,100131,2630
127,2846,100132,2624
128,2846,100133,2624
129,2870,100134,2623
130,2870,100135,2623
131,2845,100136,2624
132,2870,100137,2627
133,2845,100138,2629
134,2876,100139,2605
135,2876,100140,2629
136,2845,100141,2623
137,2823,100142,2648
138,2845,100143,2623
139,2846,100144,2624
140,2846,100145,2623
141,2846,100146,2623
142,2846,100147,2630
143,2851,100148,2606
144,2901,100149,2630
145,2845,100150,2623
146,2870,100151,2624
147,2870,100152,2623
148,2870,100153,2624
149,2870,100154,2623
150,2846,100155,2624
151,2870,100156,2629
152,2846,100157,2605
153,2875,100158,2629
154,2846,100159,2625
155,2845,100160,2624
156,2870,100161,2624
157,2896,100162,2624
158,2869,100163,2624
159,2870,100164,2624
160,2846,100165,2630
161,2846,100166,2630
162,2875,100167,2630
163,2829,100168,2630
164,2844,100169,2623
165,2896,100170,2623
166,2894,100171,2624
167,2896,100172,2624
168,2896,100173,2624
169,2870,100174,2630
170,2896,100175,2629
171,2875,100176,2630
172,2890,100177,2630
173,2896,100178,2624
174,2896,100179,2624
175,2845,100180,2623
176,2846,100181,2624
177,2845,100182,2624
178,2845,100183,2630
179,2846,100184,2630
180,2851,100185,2630
181,2852,100186,2630
182,2846,100187,2624
183,2845,100188,2624
184,2846,100189,2624
185,2846,100190,2624
186,2845,100191,2624
187,2869,100192,2630
188,2869,100193,2630
189,2852,100194,2630
190,2852,100195,2629
191,2846,100196,2624
192,2846,100197,2624
193,2846,100198,2624
194,2845,100199,2624
195,2845,100200,2624
196,2869,100201,2627
197,2845,100202,2630
198,2851,100203,2605
199,2876,100204,2605
200,2845,100205,2624
201,2845,100206,2624
202,2845,100207,2624
203,2845,100208,2624
204,2845,100209,2624
205,2845,100210,2624
206,2870,100211,2630
207,2851,100212,2605
208,2851,100213,2630
209,2845,100214,2624
210,2845,100215,2624
211,2845,100216,2623
212,2846,100217,2624
213,2845,100218,2623
214,2846,100219,2624
215,2846,100220,2630
216,2845,100221,2605
217,2875,100222,2605
218,2845,100223,2626
219,2820,100224,2624
220,2869,100225,2624
221,2869,100226,2623
222,2846,100227,2624
223,2846,100228,2623
224,2870,100229,2630
225,2846,100230,2629
226,2876,100231,2630
227,2870,100232,2630
228,2821,100233,2624
229,2845,100234,2624
230,2845,100235,2624
231,2845,100236,2624
232,2845,100237,2624
233,2846,100238,2630
234,2845,100239,2630
235,2851,100240,2630
236,2852,100241,2629
237,2821,100242,2623
238,2846,100243,2623
239,2845,100244,2624
240,2845,100245,2623
241,2845,100246,2623
242,2845,100247,2630
243,2845,100248,2629
244,2852,100249,2630
245,2851,100250,2629
246,2845,100251,2623
247,2845,100252,2623
248,2845,100253,2623
249,2846,100254,2623
250,2846,100255,2623
251,2846,100256,2630
252,2845,100257,2629
253,2851,100258,2629
254,2851,100259,2629
255,2845,100260,2623
256,2845,100261,2600
257,2846,100262,2623
258,2846,100263,2623
259,2846,100264,2623
260,2845,100265,2627
261,2846,100266,2629
262,2851,100267,2605
263,2851,100268,2605
264,2846,100269,2623
265,2845,100270,2623
266,2845,100271,2624
267,2845,100272,2623
268,2845,100273,2624
269,2870,100274,2624
270,2845,100275,2630
271,2851,100276,2605
272,2875,100277,2605
273,2845,100278,2624
274,2845,100279,2624
275,2846,100280,2624
276,2869,100281,2624
277,2845,100282,2624
278,2845,100283,2623
279,2846,100284,2629
280,2846,100285,2605
281,2852,100286,2605
282,2870,100287,2626
283,2820,100288,2623
284,2846,100289,2624
285,2845,100290,2623
286,2845,100291,2623
287,2845,100292,2623
288,2845,100293,2629
289,2869,100294,2630
290,2851,100295,2629
291,2890,100296,2630
292,2821,100297,2623
293,2869,100298,2623
294,2845,100299,2624
295,2845,100300,2624
296,2845,100301,2624
297,2845,100302,2630
298,2845,100303,2629
299,2852,100304,2629
300,2852,100305,2629
301,2821,100306,2624
302,2846,100307,2624
303,2846,100308,2623
304,2822,100309,2623
305,2846,100310,2623
306,2845,100311,2630
307,2846,100312,2629
308,2852,100313,2629
309,2852,100314,2629
310,2821,100315,2623
311,2845,100316,2623
312,2845,100317,2623
313,2846,100318,2623
314,2845,100319,2623
315,2845,100320,2630
316,2869,100321,2630
317,2851,100322,2629
318,2851,100323,2629
319,2869,100324,2623
320,2845,100325,2623
321,2869,100326,2623
322,2846,100327,2624
323,2845,100328,2624
324,2845,100329,2627
325,2845,100330,2630
326,2851,100331,2605
327,2852,100332,2629
328,2845,100333,2623
329,2845,100334,2623
330,2845,100335,2624
331,2845,100336,2624
332,2821,100337,2623
333,2821,100338,2623
334,2846,100339,2629
335,2852,100340,2606
336,2827,100341,2630
337,2821,100342,2623
338,2845,100343,2623
339,2846,100344,2623
340,2845,100345,2623
341,2845,100346,2624
342,2846,100347,2624
343,2845,100348,2629
344,2845,100349,2605
345,2852,100350,2630
346,2846,100351,2625
347,2796,100352,2623
348,2821,100353,2623
349,2821,100354,2623
350,2845,100355,2623
351,2845,100356,2623
352,2846,100357,2629
353,2821,100358,2629
354,2851,100359,2629
355,2845,100360,2629
356,2797,100361,2624
357,2845,100362,2624
358,2845,100363,2623
359,2845,100364,2624
360,2845,100365,2624
361,2821,100366,2630
362,2845,100367,2630
363,2851,100368,2629
364,2851,100369,2630
365,2797,100370,2623
366,2846,100371,2623
367,2846,100372,2623
368,2845,100373,2623
369,2869,100374,2624
370,2869,100375,2629
371,2869,100376,2629
372,2899,100377,2629
373,2851,100378,2629
374,2869,100379,2623
375,2845,100380,2623
376,2845,100381,2624
377,2845,100382,2623
378,2845,100383,2623
379,2821,100384,2630
380,2846,100385,2629
381,2828,100386,2629
382,2852,100387,2630
383,2846,100388,2624
384,2846,100389,2623
385,2846,100390,2624
386,2821,100391,2623
387,2846,100392,2623
388,2845,100393,2627
389,2897,100394,2630
390,2900,100395,2654
391,2851,100396,2605
392,2845,100397,2624
393,2845,100398,2624
394,2845,100399,2623
395,2845,100400,2624
396,2845,100401,2623
397,2845,100402,2624
398,2846,100403,2629
399,2827,100404,2655
400,2828,100405,2605
401,2845,100406,2624
402,2821,100407,2624
403,2846,100408,2624
404,2821,100409,2624
405,2821,100410,2624
406,2822,100411,2624
407,2846,100412,2630
408,2821,100413,2605
409,2852,100414,2630
410,2822,100415,2625
411,2796,100416,2624
412,2822,100417,2624
413,2821,100418,2623
414,2820,100419,2623
415,2821,100420,2624
416,2845,100421,2629
417,2845,100422,2629
418,2851,100423,2630
419,2845,100424,2629
420,2796,100425,2623
421,2844,100426,2623
422,2844,100427,2623
423,2845,100428,2623
424,2821,100429,2623
425,2821,100430,2629
426,2821,100431,2629
427,2827,100432,2630
428,2852,100433,2629
429,2797,100434,2623
430,2821,100435,2623
431,2845,100436,2624
432,2821,100437,2624
433,2821,100438,2624
434,2846,100439,2630
435,2821,100440,2629
436,2828,100441,2629
437,2852,100442,2629
438,2845,100443,2622
439,2846,100444,2623
440,2845,100445,2623
441,2845,100446,2623
442,2845,100447,2624
443,2845,100448,2629
444,2845,100449,2629
445,2827,100450,2629
446,2851,100451,2630
447,2846,100452,2624
448,2821,100453,2624
449,2846,100454,2623
450,2845,100455,2623
451,2821,100456,2623
452,2821,100457,2626
453,2845,100458,2630
454,2851,100459,2605
455,2851,100460,2629
456,2845,100461,2623
457,2845,100462,2648
458,2869,100463,2623
459,2845,100464,2623
460,2869,100465,2624
461,2845,100466,2623
462,2845,100467,2629
463,2851,100468,2605
464,2851,100469,2630
465,2845,100470,2623
466,2845,100471,2648
467,2821,100472,2624
468,2821,100473,2624
469,2821,100474,2623
470,2845,100475,2623
471,2845,100476,2630
472,2845,100477,2605
473,2851,100478,2630
474,2846,100479,2625
475,2796,100480,2648
476,2845,100481,2624
477,2821,100482,2624
478,2821,100483,2624
479,2821,100484,2623
480,2845,100485,2629
481,2820,100486,2630
482,2851,100487,2630
483,2869,100488,2630
484,2796,100489,2623
485,2821,100490,2624
486,2845,100491,2624
487,2845,100492,2623
488,2821,100493,2624
489,2846,100494,2630
490,2821,100495,2630
491,2827,100496,2629
492,2852,100497,2629
493,2796,100498,2624
494,2846,100499,2623
495,2821,100500,2623
496,2845,100501,2700
497,2821,100502,2647
498,2821,100503,2654
499,2845,100504,2629
500,2852,100505,2629
501,2851,100506,2629
502,2845,100507,2699
503,2845,100508,2623
504,2845,100509,2623
505,2821,100510,2623
506,2846,100511,2623
507,2845,100512,2630
508,2821,100513,2629
509,2851,100514,2629
510,2851,100515,2629
511,2845,100516,2624
512,2846,100517,2624
513,2846,100518,2623
514,2845,100519,2624
515,2821,100520,2624
516,2822,100521,2702
517,2821,100522,2629
518,2852,100523,2604
519,2851,100524,2629
520,2845,100525,2700
