index,[2023-01-11 23:47:13.578] Ultrasonic Sensor Data Capture Start,index,[2023-01-11 23:47:13.578] Ultrasonic Sensor Data Capture Start
3.0,7464.0,100004,7485
4.0,7472.0,100005,7419
5.0,6650.0,100006,7486
6.0,7471.0,100007,7512
7.0,6497.0,100008,7417
8.0,4244.0,100009,7518
9.0,7440.0,100010,7439
10.0,7446.0,100011,7435
11.0,7465.0,100012,7466
12.0,7470.0,100013,7517
13.0,7547.0,100014,7517
14.0,7497.0,100015,7512
15.0,6574.0,100016,7486
16.0,7365.0,100017,7493
17.0,7496.0,100018,7417
18.0,7472.0,100019,7493
19.0,7447.0,100020,7487
20.0,7541.0,100021,7486
21.0,7516.0,100022,7517
22.0,7472.0,100023,7442
23.0,7473.0,100024,7518
24.0,7447.0,100025,7511
25.0,6621.0,100026,7411
26.0,7515.0,100027,7441
27.0,6595.0,100028,7417
28.0,4244.0,100029,7512
29.0,7439.0,100030,7511
30.0,7490.0,100031,7441
31.0,7490.0,100032,7417
32.0,7496.0,100033,7442
33.0,7958.0,100034,7512
34.0,7466.0,100035,7511
35.0,6576.0,100036,7441
36.0,7419.0,100037,7492
37.0,4244.0,100038,7419
38.0,4212.0,100039,7512
39.0,7439.0,100040,7486
40.0,4244.0,100041,7493
41.0,4260.0,100042,7517
42.0,7414.0,100043,7468
43.0,6671.0,100044,7511
44.0,7315.0,100045,7512
45.0,7470.0,100046,7417
46.0,7573.0,100047,7441
47.0,7423.0,100048,7518
48.0,6552.0,100049,7512
49.0,7365.0,100050,7416
50.0,6672.0,100051,7417
51.0,4244.0,100052,7517
52.0,4237.0,100053,7411
53.0,4236.0,100054,7459
54.0,7433.0,100055,7518
55.0,7445.0,100056,7441
56.0,7440.0,100057,7519
57.0,7445.0,100058,7411
58.0,7472.0,100059,7441
59.0,7447.0,100060,7441
60.0,7442.0,100061,7518
61.0,6620.0,100062,7436
62.0,4244.0,100063,7486
63.0,7464.0,100064,7518
64.0,7521.0,100065,7517
65.0,7466.0,100066,7493
66.0,7490.0,100067,7436
