index,[2023-01-12 10:05:56.560] Ultrasonic Sensor Data Capture Start,index,[2023-01-12 10:05:56.560] Ultrasonic Sensor Data Capture Start
3.0,5442.0,99978,8860
4.0,5492.0,99979,8892
5.0,5525.0,99980,8861
6.0,5500.0,99981,8861
7.0,5344.0,99982,8836
8.0,5300.0,99983,8837
9.0,5500.0,99984,8836
10.0,5500.0,99985,8891
11.0,5444.0,99986,8841
12.0,5324.0,99987,8835
13.0,5451.0,99988,8886
14.0,5476.0,99989,8837
15.0,5501.0,99990,8887
16.0,5519.0,99991,8867
17.0,5324.0,99992,8868
18.0,5501.0,99993,8860
19.0,5326.0,99994,8861
20.0,5319.0,99995,8836
21.0,5301.0,99996,8861
22.0,5501.0,99997,8862
23.0,5451.0,99998,8841
24.0,5320.0,99999,8867
25.0,5302.0,100000,8861
26.0,5426.0,100001,8861
27.0,5475.0,100002,8886
28.0,5319.0,100003,8862
29.0,5300.0,100004,8842
30.0,5300.0,100005,8843
31.0,5319.0,100006,8861
32.0,5300.0,100007,8861
33.0,5350.0,100008,8861
34.0,5319.0,100009,8836
35.0,5400.0,100010,8836
36.0,5475.0,100011,8918
37.0,5499.0,100012,8867
38.0,5320.0,100013,8835
39.0,5326.0,100014,8835
40.0,5500.0,100015,8836
41.0,5450.0,100016,8837
42.0,5444.0,100017,8835
43.0,5300.0,100018,8842
44.0,5525.0,100019,8867
45.0,5350.0,100020,8886
46.0,5295.0,100021,8861
47.0,5301.0,100022,8836
48.0,5525.0,100023,8862
49.0,5350.0,100024,8836
50.0,5320.0,100025,8919
51.0,5301.0,100026,8886
52.0,5301.0,100027,8861
53.0,5271.0,100028,8836
54.0,5325.0,100029,8861
55.0,5301.0,100030,8836
56.0,5322.0,100031,8842
57.0,5325.0,100032,8867
58.0,5375.0,100033,8861
59.0,5319.0,100034,8913
60.0,5350.0,100035,8913
61.0,5476.0,100036,8835
62.0,5475.0,100037,8843
63.0,5320.0,100038,8842
64.0,5326.0,100039,8835
65.0,5476.0,100040,8912
66.0,5350.0,100041,8887
67.0,5494.0,100042,8835
68.0,5349.0,100043,8860
69.0,5500.0,100044,8919
70.0,5476.0,100045,8861
71.0,5544.0,100046,8836
72.0,5344.0,100047,8860
73.0,5351.0,100048,8835
74.0,5451.0,100049,8836
75.0,5476.0,100050,8918
76.0,5470.0,100051,8841
77.0,5469.0,100052,8835
78.0,5475.0,100053,8836
79.0,5500.0,100054,8912
80.0,5451.0,100055,8912
81.0,5494.0,100056,8842
82.0,5493.0,100057,8842
83.0,5469.0,100058,8836
84.0,5300.0,100059,8913
85.0,5276.0,100060,8836
86.0,5344.0,100061,8938
87.0,5350.0,100062,8841
88.0,5275.0,100063,8944
89.0,5343.0,100064,8861
90.0,5350.0,100065,8836
91.0,5300.0,100066,8861
92.0,5273.0,100067,8913
93.0,5500.0,100068,8842
94.0,5500.0,100069,8842
95.0,5525.0,100070,8862
96.0,5519.0,100071,8836
97.0,5420.0,100072,8835
98.0,5444.0,100073,8835
99.0,5450.0,100074,8835
100.0,5500.0,100075,8913
101.0,5450.0,100076,8866
102.0,5320.0,100077,8860
103.0,5301.0,100078,8912
104.0,5426.0,100079,8913
105.0,5420.0,100080,8913
106.0,5495.0,100081,8842
107.0,5450.0,100082,8867
108.0,5426.0,100083,8860
109.0,5426.0,100084,8887
110.0,5370.0,100085,8913
111.0,5518.0,100086,8862
112.0,5474.0,100087,8842
113.0,5450.0,100088,8866
114.0,5475.0,100089,8886
115.0,5469.0,100090,8860
116.0,5368.0,100091,8913
117.0,5300.0,100092,8937
118.0,5276.0,100093,8867
119.0,5276.0,100094,8886
120.0,5451.0,100095,8887
121.0,5303.0,100096,8837
122.0,5420.0,100097,8862
123.0,5425.0,100098,8836
124.0,5351.0,100099,8943
125.0,5327.0,100100,8886
126.0,5320.0,100101,8861
127.0,5275.0,100102,8836
128.0,5300.0,100103,8835
129.0,5276.0,100104,8835
130.0,5426.0,100105,8918
131.0,5450.0,100106,8860
132.0,5444.0,100107,8937
133.0,5325.0,100108,8836
134.0,5328.0,100109,8836
135.0,5476.0,100110,8937
136.0,5469.0,100111,8842
137.0,5395.0,100112,8860
138.0,5500.0,100113,8862
139.0,5426.0,100114,8837
140.0,5401.0,100115,8861
141.0,5494.0,100116,8938
142.0,5494.0,100117,8842
143.0,5475.0,100118,8911
144.0,5451.0,100119,8861
145.0,5475.0,100120,8836
146.0,5469.0,100121,8836
147.0,5319.0,100122,8861
148.0,5524.0,100123,8843
149.0,5476.0,100124,8842
150.0,5475.0,100125,8834
151.0,5519.0,100126,8861
152.0,5494.0,100127,8836
153.0,5469.0,100128,8835
154.0,5350.0,100129,8887
155.0,5451.0,100130,8842
156.0,5525.0,100131,8868
157.0,5469.0,100132,8861
158.0,5494.0,100133,8834
159.0,5500.0,100134,8837
160.0,5525.0,100135,8912
161.0,5500.0,100136,8835
162.0,5350.0,100137,8943
163.0,5295.0,100138,8835
164.0,5325.0,100139,8836
165.0,5325.0,100140,8911
166.0,5319.0,100141,8862
167.0,5276.0,100142,8861
168.0,5375.0,100143,8893
169.0,5295.0,100144,8887
170.0,5350.0,100145,8887
171.0,5276.0,100146,8862
172.0,5319.0,100147,8836
173.0,5300.0,100148,8860
174.0,5350.0,100149,8866
175.0,5319.0,100150,8866
176.0,5300.0,100151,8861
177.0,5349.0,100152,8862
178.0,5295.0,100153,8836
179.0,5276.0,100154,8912
180.0,5350.0,100155,8867
181.0,5294.0,100156,8866
182.0,5349.0,100157,8834
183.0,5375.0,100158,8938
184.0,5344.0,100159,8912
185.0,5325.0,100160,8913
186.0,5500.0,100161,8893
187.0,5525.0,100162,8835
188.0,5344.0,100163,8836
189.0,5301.0,100164,8837
190.0,5525.0,100165,8835
191.0,5475.0,100166,8887
192.0,5326.0,100167,8841
193.0,5326.0,100168,8868
194.0,5500.0,100169,8887
195.0,5301.0,100170,8836
196.0,5295.0,100171,8912
197.0,5300.0,100172,8938
198.0,5399.0,100173,8919
199.0,5295.0,100174,8912
200.0,5300.0,100175,8834
201.0,5525.0,100176,8862
202.0,5525.0,100177,8912
203.0,5319.0,100178,8836
204.0,5300.0,100179,8918
205.0,5476.0,100180,8835
206.0,5475.0,100181,8836
207.0,5494.0,100182,8837
208.0,5318.0,100183,8861
209.0,5300.0,100184,8836
210.0,5325.0,100185,8862
211.0,5344.0,100186,8842
212.0,5350.0,100187,8841
213.0,5276.0,100188,8860
214.0,5443.0,100189,8887
215.0,5450.0,100190,8862
216.0,5327.0,100191,8912
217.0,5401.0,100192,8893
218.0,5418.0,100193,8912
219.0,5300.0,100194,8835
220.0,5475.0,100195,8912
221.0,5525.0,100196,8835
222.0,5494.0,100197,8862
223.0,5319.0,100198,8893
224.0,5301.0,100199,8836
225.0,5275.0,100200,8835
226.0,5350.0,100201,8913
227.0,5450.0,100202,8912
228.0,5426.0,100203,8862
229.0,5494.0,100204,8867
230.0,5494.0,100205,8861
231.0,5325.0,100206,8862
232.0,5475.0,100207,8913
233.0,5326.0,100208,8912
234.0,5295.0,100209,8869
235.0,5300.0,100210,8919
236.0,5325.0,100211,8835
237.0,5294.0,100212,8888
238.0,5324.0,100213,8860
239.0,5275.0,100214,8888
240.0,5293.0,100215,8893
241.0,5275.0,100216,8918
242.0,5299.0,100217,8836
243.0,5300.0,100218,8861
244.0,5425.0,100219,8912
245.0,5450.0,100220,8938
246.0,5295.0,100221,8843
247.0,5276.0,100222,8861
248.0,5426.0,100223,8862
249.0,5444.0,100224,8913
250.0,5395.0,100225,8887
251.0,5450.0,100226,8887
252.0,5450.0,100227,8842
253.0,5475.0,100228,8861
254.0,5469.0,100229,8836
255.0,5320.0,100230,8836
256.0,5300.0,100231,8938
257.0,5300.0,100232,8862
258.0,5300.0,100233,8868
259.0,5426.0,100234,8868
260.0,5475.0,100235,8861
261.0,5494.0,100236,8837
262.0,5343.0,100237,8837
263.0,5300.0,100238,8938
264.0,5300.0,100239,8842
265.0,5269.0,100240,8867
266.0,5324.0,100241,8937
267.0,5276.0,100242,8861
268.0,5300.0,100243,8837
269.0,5425.0,100244,8836
270.0,5325.0,100245,8867
271.0,5294.0,100246,8843
272.0,5276.0,100247,8836
273.0,5300.0,100248,8861
274.0,5300.0,100249,8912
275.0,5475.0,100250,8938
276.0,5475.0,100251,8842
277.0,5500.0,100252,8867
