Channel1,Channel2,LabelObject,Grid
5957,6059,No,0
5941,6014,No,0
6023,6067,No,0
5942,6015,No,0
5942,6091,No,0
5942,5990,No,0
5942,5991,No,0
5942,6091,No,0
5941,6067,No,0
5947,6015,No,0
5942,6066,No,0
5942,6067,No,0
5941,6066,No,0
5921,6092,No,0
5942,6014,No,0
5941,6015,No,0
5941,6066,No,0
5941,6066,No,0
5942,5990,No,0
5942,6092,No,0
5947,6091,No,0
5941,5990,No,0
5941,5991,No,0
5941,6067,No,0
5991,5966,No,0
5942,5997,No,0
5941,5991,No,0
5947,5966,No,0
5942,5996,No,0
5941,5991,No,0
5941,5966,No,0
5942,6015,No,0
5941,5991,No,0
5943,5966,No,0
5997,6015,No,0
5942,5991,No,0
5942,5966,No,0
5965,5990,No,0
5941,5990,No,0
5941,5990,No,0
5942,5991,No,0
5948,6014,No,0
5941,5990,No,0
5941,5969,No,0
5965,5991,No,0
5967,5966,No,0
5942,6016,No,0
5942,6015,No,0
5923,5966,No,0
5942,5991,No,0
5941,5990,No,0
5991,5966,No,0
5991,5990,No,0
5991,5990,No,0
5992,6014,No,0
5942,6015,No,0
5942,6015,No,0
5942,6066,No,0
5997,5997,No,0
5966,5967,No,0
5941,5966,No,0
5941,5996,No,0
5965,5990,No,0
5941,5991,No,0
5942,5973,No,0
5947,5990,No,0
5941,5966,No,0
5941,5989,No,0
5941,5990,No,0
5941,6014,No,0
5941,5991,No,0
5941,5990,No,0
5970,5990,No,0
5941,5990,No,0
5941,6015,No,0
5941,5991,No,0
5966,5997,No,0
5942,5966,No,0
5941,6040,No,0
5948,5972,No,0
5941,5991,No,0
5942,5966,No,0
5941,6015,No,0
5917,5991,No,0
5942,6040,No,0
5941,5972,No,0
5941,5991,No,0
5991,5966,No,0
5991,5969,No,0
5942,5991,No,0
5966,6040,No,0
5991,5972,No,0
5991,5990,No,0
5966,5966,No,0
5966,5966,No,0
5991,5990,No,0
5924,5967,No,0
5966,5966,No,0
5942,6016,No,0
6016,6041,No,0
5966,6041,No,0
5992,5990,No,0
5966,5967,No,0
5966,6041,No,0
5991,6016,No,0
5991,6016,No,0
5966,6015,No,0
5991,5990,No,0
5941,5992,No,0
5947,5991,No,0
5941,6015,No,0
5992,5990,No,0
5942,5990,No,0
5941,5991,No,0
5992,5991,No,0
5942,5991,No,0
5991,6015,No,0
5917,5991,No,0
5991,5991,No,0
5923,5991,No,0
5941,5991,No,0
5942,5966,No,0
5942,5991,No,0
5966,6016,No,0
5917,5971,No,0
5918,5990,No,0
5917,6015,No,0
5941,6040,No,0
5966,5991,No,0
5942,5991,No,0
5923,5991,No,0
5942,5992,No,0
5941,5966,No,0
5941,5966,No,0
5917,5966,No,0
5917,5966,No,0
5917,5996,No,0
5917,5966,No,0
5941,5966,No,0
5941,5966,No,0
5942,5991,No,0
5923,5966,No,0
5942,5991,No,0
5941,6016,No,0
5942,5966,No,0
5992,6040,No,0
5917,6041,No,0
5918,5966,No,0
5941,5997,No,0
5941,5966,No,0
5942,6016,No,0
5942,6022,No,0
5972,5990,No,0
5966,5967,No,0
5992,5997,No,0
5973,5990,No,0
5942,5966,No,0
5942,6015,No,0
5942,5990,No,0
5967,5966,No,0
5918,5966,No,0
5917,5966,No,0
5941,5966,No,0
5941,6040,No,0
5942,6016,No,0
5918,6016,No,0
5948,6016,No,0
5943,5966,No,0
5942,5966,No,0
5992,5966,No,0
5968,5991,No,0
5992,6041,No,0
5992,6040,No,0
5967,5991,No,0
5942,5966,No,0
6017,6046,No,0
5992,6040,No,0
5992,6040,No,0
5992,5967,No,0
5993,5991,No,0
5992,5991,No,0
5992,6015,No,0
5992,5991,No,0
5918,5992,No,0
5918,5991,No,0
5918,5991,No,0
5992,5991,No,0
5992,5990,No,0
5941,5991,No,0
5923,5991,No,0
5992,5991,No,0
5991,5991,No,0
6023,5990,No,0
6016,5991,No,0
6017,5991,No,0
5998,5991,No,0
5992,5991,No,0
5967,5990,No,0
